Tensao [V];Corrente [A]
-5;-0.0001097556
-4.95;-9.569488E-05
-4.9;-8.866818E-05
-4.85;-8.494704E-05
-4.8;-8.253372E-05
-4.75;-8.155323E-05
-4.7;-8.046354E-05
-4.65;-7.711995E-05
-4.6;-7.540531E-05
-4.55;-7.397614E-05
-4.5;-7.453757E-05
-4.45;-7.341487E-05
-4.4;-7.093897E-05
-4.35;-6.894239E-05
-4.3;-6.81702E-05
-4.25;-6.693227E-05
-4.2;-6.569559E-05
-4.15;-6.486707E-05
-4.1;-6.337543E-05
-4.05;-6.238998E-05
-4;-6.085792E-05
-3.95;-5.821171E-05
-3.9;-5.647495E-05
-3.85;-5.676299E-05
-3.8;-5.591238E-05
-3.75;-5.524807E-05
-3.7;-5.364857E-05
-3.65;-5.243764E-05
-3.6;-5.149754E-05
-3.55;-5.103177E-05
-3.5;-4.905235E-05
-3.45;-4.781077E-05
-3.4;-4.652013E-05
-3.35;-4.564868E-05
-3.3;-4.292895E-05
-3.25;-4.217884E-05
-3.2;-4.251711E-05
-3.15;-4.217763E-05
-3.1;-4.105614E-05
-3.05;-3.886955E-05
-3;-3.873837E-05
-2.95;-3.871144E-05
-2.9;-3.703352E-05
-2.85;-3.55909E-05
-2.8;-3.47023E-05
-2.75;-3.392402E-05
-2.7;-3.011344E-05
-2.65;-2.757632E-05
-2.6;-3.184899E-05
-2.55;-3.045171E-05
-2.5;-2.88694E-05
-2.45;-2.814747E-05
-2.4;-2.75518E-05
-2.35;-2.624645E-05
-2.3;-2.506248E-05
-2.25;-2.324482E-05
-2.2;-2.281707E-05
-2.15;-2.228881E-05
-2.1;-2.166494E-05
-2.05;-1.893663E-05
-2;-1.80946E-05
-1.95;-1.820245E-05
-1.9;-1.793649E-05
-1.85;-1.621197E-05
-1.8;-1.498509E-05
-1.75;-1.417615E-05
-1.7;-1.352656E-05
-1.65;-1.27311E-05
-1.6;-1.097228E-05
-1.55;-1.023565E-05
-1.5;-9.725783E-06
-1.45;-7.674022E-06
-1.4;-4.959185E-06
-1.35;-4.102447E-06
-1.3;-3.185654E-06
-1.25;-1.673187E-06
-1.2;-6.411803E-07
-1.15;9.742628E-07
-1.1;4.188017E-06
-1.05;6.553595E-06
-1;8.751251E-06
-0.95;9.123863E-06
-0.9;1.055179E-05
-0.85;1.238788E-05
-0.8;1.628065E-05
-0.75;1.920638E-05
-0.7;2.060856E-05
-0.65;2.234905E-05
-0.6;2.582999E-05
-0.55;2.800681E-05
-0.5;3.147796E-05
-0.45;4.389417E-05
-0.4;6.705234E-05
-0.35;0.0001070049
-0.3;0.0001805927
-0.25;0.0003073278
-0.2;0.0005260148
-0.15;0.0008764905
-0.1;0.001410696
-0.05;0.002515465
0;0.003337795
0.05;0.004115036
0.1;0.005107492
0.15;0.006126288
0.2;0.007156412
0.25;0.008175977
0.3;0.009197996
0.35;0.0102036
0.4;0.01115408
0.45;0.01209028
0.5;0.01299257
0.55;0.01387106
0.6;0.01472593
0.65;0.01555848
0.7;0.01638012
0.75;0.01718149
0.8;0.0179755
0.85;0.01874199
0.9;0.0194938
0.95;0.02022763
1;0.02093198
1.05;0.02194216
1.1;0.02261275
1.15;0.02325902
1.2;0.0238643
1.25;0.024449
1.3;0.02500963
1.35;0.02554806
1.4;0.02606254
1.45;0.02654469
1.5;0.02701363
1.55;0.02746756
1.6;0.02789152
1.65;0.02829566
1.7;0.02868839
1.75;0.02906221
1.8;0.02941202
1.85;0.02975549
1.9;0.03007914
1.95;0.03039825
2;0.03069982
2.05;0.03098935
2.1;0.03127472
2.15;0.03153945
2.2;0.03180228
2.25;0.03204377
2.3;0.03228279
2.35;0.0325181
2.4;0.03275063
2.45;0.0329629
2.5;0.03316515
2.55;0.03337744
2.6;0.03357645
2.65;0.0337668
2.7;0.03395414
2.75;0.03412855
2.8;0.03430108
2.85;0.03446146
2.9;0.03461471
2.95;0.03476779
3;0.03491916
3.05;0.0350587
3.1;0.03518376
3.15;0.03531412
3.2;0.03543652
3.25;0.03555831
3.3;0.03566373
3.35;0.03578035
3.4;0.03589247
3.45;0.03599364
3.5;0.03609145
3.55;0.03618712
3.6;0.03628557
3.65;0.03638611
3.7;0.03647715
3.75;0.03657721
3.8;0.03667629
3.85;0.03677494
3.9;0.03686714
3.95;0.03696957
4;0.03707102
4.05;0.03716706
4.1;0.03725608
4.15;0.03736207
4.2;0.0374555
4.25;0.03755212
4.3;0.03765135
4.35;0.03775188
4.4;0.03784983
4.45;0.03794878
4.5;0.03804091
4.55;0.03813635
4.6;0.03824545
4.65;0.03833907
4.7;0.03843026
4.75;0.03851754
4.8;0.03861058
4.85;0.03870514
4.9;0.03879804
4.95;0.03888493
5;0.03896719
