Tensao [V];Corrente [A]
-5;-0.0003714727
-4.95;-0.0003548636
-4.9;-0.0003483942
-4.85;-0.0003432833
-4.8;-0.0003400204
-4.75;-0.0003389588
-4.7;-0.0003367612
-4.65;-0.0003332827
-4.6;-0.0003315816
-4.55;-0.0003300994
-4.5;-0.0003287473
-4.45;-0.0003265644
-4.4;-0.0003254147
-4.35;-0.0003250032
-4.3;-0.0003244304
-4.25;-0.0003213284
-4.2;-0.0003204814
-4.15;-0.0003202842
-4.1;-0.0003206028
-4.05;-0.0003185473
-4;-0.0003166929
-3.95;-0.0003159142
-3.9;-0.0003151803
-3.85;-0.000313885
-3.8;-0.0003112631
-3.75;-0.0003112544
-3.7;-0.000310844
-3.65;-0.0003099578
-3.6;-0.0003077489
-3.55;-0.0003065463
-3.5;-0.0003059606
-3.45;-0.0003046428
-3.4;-0.0003017588
-3.35;-0.0003012272
-3.3;-0.0003001693
-3.25;-0.0002983712
-3.2;-0.0002965644
-3.15;-0.0002949099
-3.1;-0.0002946902
-3.05;-0.000293298
-3;-0.0002904286
-2.95;-0.0002887446
-2.9;-0.0002879832
-2.85;-0.0002859942
-2.8;-0.0002844559
-2.75;-0.0002795262
-2.7;-0.0002750057
-2.65;-0.0002732676
-2.6;-0.0002697733
-2.55;-0.0002650949
-2.5;-0.0002631679
-2.45;-0.0002580569
-2.4;-0.0002526978
-2.35;-0.0002472228
-2.3;-0.0002433608
-2.25;-0.0002381417
-2.2;-0.000230975
-2.15;-0.0002223854
-2.1;-0.0002134416
-2.05;-0.0002041079
-2;-0.0001898334
-1.95;-0.0001753249
-1.9;-0.0001599778
-1.85;-0.0001425154
-1.8;-0.0001211368
-1.75;-9.604194E-05
-1.7;-7.071538E-05
-1.65;-4.088812E-05
-1.6;-5.912911E-06
-1.55;3.514252E-05
-1.5;8.353894E-05
-1.45;0.0001418061
-1.4;0.0002154449
-1.35;0.0003110525
-1.3;0.0004354227
-1.25;0.0005975304
-1.2;0.0008107426
-1.15;0.001087286
-1.1;0.001441685
-1.05;0.001886881
-1;0.002601502
-0.95;0.003123859
-0.9;0.003911941
-0.85;0.004853125
-0.8;0.005939045
-0.75;0.007175861
-0.7;0.008574028
-0.65;0.01015028
-0.6;0.01192516
-0.55;0.01392934
-0.5;0.01621205
-0.45;0.01881081
-0.4;0.02323197
-0.35;0.02659331
-0.3;0.03025187
-0.25;0.03420107
-0.2;0.03844913
-0.15;0.04301604
-0.1;0.0479466
-0.05;0.05322805
0;0.05884301
0.05;0.06465928
0.1;0.07070611
0.15;0.07688197
0.2;0.08315624
0.25;0.08949286
0.3;0.09584303
0.35;0.1022661
0.4;0.1087534
0.45;0.1153075
0.5;0.121912
0.55;0.1285788
0.6;0.1352999
0.65;0.1420981
0.7;0.1489178
0.75;0.1557514
0.8;0.1626121
0.85;0.1694738
0.9;0.1762929
0.95;0.1830466
1;0.1897185
1.05;0.1963039
1.1;0.2027751
1.15;0.2091111
1.2;0.2152878
1.25;0.2213798
1.3;0.2273029
1.35;0.2330861
1.4;0.2387279
1.45;0.2442348
1.5;0.249585
1.55;0.2548044
1.6;0.2599207
1.65;0.2649352
1.7;0.2698388
1.75;0.2746518
1.8;0.2794008
1.85;0.2840832
1.9;0.2887016
1.95;0.2932474
2;0.2977424
2.05;0.3022014
2.1;0.3066221
2.15;0.3109589
2.2;0.3152487
2.25;0.3195101
2.3;0.3236685
2.35;0.3277798
2.4;0.331837
2.45;0.3358593
2.5;0.3398397
2.55;0.3437291
2.6;0.3475607
2.65;0.3513642
2.7;0.3550991
2.75;0.3587602
2.8;0.362367
2.85;0.365905
2.9;0.3694042
2.95;0.3728071
3;0.3761353
3.05;0.3794197
3.1;0.3826516
3.15;0.3858158
3.2;0.3889205
3.25;0.3919864
3.3;0.3950175
3.35;0.3980011
3.4;0.4009419
3.45;0.4038678
3.5;0.4067689
3.55;0.4096496
3.6;0.4124872
3.65;0.4152797
3.7;0.4181028
3.75;0.4208793
3.8;0.4236196
3.85;0.426332
3.9;0.4290503
3.95;0.431734
4;0.4343674
4.05;0.4369695
4.1;0.4395598
4.15;0.4421262
4.2;0.444658
4.25;0.4471341
4.3;0.4496003
4.35;0.4520425
4.4;0.4544541
4.45;0.4568162
4.5;0.4591527
4.55;0.4614797
4.6;0.4637459
4.65;0.4659923
4.7;0.4682141
4.75;0.4703852
4.8;0.4725467
4.85;0.4746478
4.9;0.4767179
4.95;0.4787677
5;0.4807912
