Tensao [V];Corrente [A]
-5;-0.0004694626
-4.95;-0.00045282
-4.9;-0.0004466143
-4.85;-0.0004426543
-4.8;-0.0004401045
-4.75;-0.00043767
-4.7;-0.0004356074
-4.65;-0.0004336413
-4.6;-0.0004324309
-4.55;-0.0004309745
-4.5;-0.0004304348
-4.45;-0.0004284151
-4.4;-0.0004270104
-4.35;-0.0004255188
-4.3;-0.0004247418
-4.25;-0.0004229194
-4.2;-0.0004214226
-4.15;-0.0004205645
-4.1;-0.0004193166
-4.05;-0.0004193891
-4;-0.00041612
-3.95;-0.0004150871
-3.9;-0.0004135821
-3.85;-0.0004127262
-3.8;-0.0004115877
-3.75;-0.000410259
-3.7;-0.0004095445
-3.65;-0.000408015
-3.6;-0.0004061836
-3.55;-0.0004044345
-3.5;-0.0004042557
-3.45;-0.0004030093
-3.4;-0.0004015176
-3.35;-0.0004014818
-3.3;-0.0003998397
-3.25;-0.0003982732
-3.2;-0.0003958157
-3.15;-0.0003936228
-3.1;-0.0003929438
-3.05;-0.0003908823
-3;-0.0003888966
-2.95;-0.0003869661
-2.9;-0.0003855467
-2.85;-0.000382615
-2.8;-0.0003793679
-2.75;-0.0003768331
-2.7;-0.0003735313
-2.65;-0.0003697696
-2.6;-0.0003645886
-2.55;-0.0003607903
-2.5;-0.0003557023
-2.45;-0.0003496928
-2.4;-0.0003441491
-2.35;-0.0003380354
-2.3;-0.0003316875
-2.25;-0.0003241949
-2.2;-0.0003150207
-2.15;-0.0003053904
-2.1;-0.0002945859
-2.05;-0.0002797135
-2;-0.0002634988
-1.95;-0.0002457213
-1.9;-0.0002250047
-1.85;-0.0002008514
-1.8;-0.0001726435
-1.75;-0.0001407767
-1.7;-0.0001047892
-1.65;-6.381073E-05
-1.6;-1.666954E-05
-1.55;3.73008E-05
-1.5;0.0001011545
-1.45;0.0001801814
-1.4;0.0002788441
-1.35;0.0004069499
-1.3;0.000572685
-1.25;0.0007928274
-1.2;0.001081029
-1.15;0.001453981
-1.1;0.001931231
-1.05;0.002724243
-1;0.003295908
-0.95;0.004189037
-0.9;0.005276561
-0.85;0.006554957
-0.8;0.008032026
-0.75;0.009715783
-0.7;0.01162138
-0.65;0.01376963
-0.6;0.016188
-0.55;0.01892424
-0.5;0.02364791
-0.45;0.02740875
-0.4;0.03158416
-0.35;0.03618332
-0.3;0.04115811
-0.25;0.04650973
-0.2;0.05226814
-0.15;0.05846517
-0.1;0.06513632
-0.05;0.07224231
0;0.07980306
0.05;0.08763428
0.1;0.09576501
0.15;0.1041044
0.2;0.1125874
0.25;0.1211586
0.3;0.1298061
0.35;0.1385457
0.4;0.1473887
0.45;0.1563156
0.5;0.1653361
0.55;0.174442
0.6;0.1836274
0.65;0.1928902
0.7;0.2022161
0.75;0.2115438
0.8;0.2209393
0.85;0.2302977
0.9;0.2396237
0.95;0.2488602
1;0.2580023
1.05;0.2670054
1.1;0.275846
1.15;0.2845223
1.2;0.2930191
1.25;0.3013342
1.3;0.3094606
1.35;0.3173858
1.4;0.3251127
1.45;0.3326517
1.5;0.339992
1.55;0.3471657
1.6;0.3541658
1.65;0.3610038
1.7;0.3677195
1.75;0.374303
1.8;0.3807961
1.85;0.3871816
1.9;0.393487
1.95;0.3997133
2;0.4058718
2.05;0.4119645
2.1;0.4179869
2.15;0.4239409
2.2;0.4298227
2.25;0.4356347
2.3;0.4413635
2.35;0.4470107
2.4;0.4525751
2.45;0.458058
2.5;0.4634653
2.55;0.4688005
2.6;0.4740491
2.65;0.4792136
2.7;0.4843274
2.75;0.489333
2.8;0.494269
2.85;0.4990924
2.9;0.5038613
2.95;0.5085076
3;0.5130888
3.05;0.5175834
3.1;0.521993
3.15;0.5263291
3.2;0.5305894
3.25;0.5347912
3.3;0.5389306
3.35;0.5430355
3.4;0.5470778
3.45;0.5510845
3.5;0.5550481
3.55;0.558988
3.6;0.5628837
3.65;0.5667345
3.7;0.5705712
3.75;0.5743789
3.8;0.578138
3.85;0.5818803
3.9;0.5855719
3.95;0.5892267
4;0.5928367
4.05;0.5964254
4.1;0.5999533
4.15;0.6034456
4.2;0.6068996
4.25;0.6103091
4.3;0.6136694
4.35;0.6169975
4.4;0.6202807
4.45;0.6235206
4.5;0.6267191
4.55;0.6298674
4.6;0.6329739
4.65;0.6360337
4.7;0.6390469
4.75;0.6420199
4.8;0.6449524
4.85;0.64782
4.9;0.6506402
4.95;0.6534349
5;0.6561814
