Tensao [V];Corrente [A]
-5;-0,0004615291
-4,95;-0,0004439837
-4,9;-0,0004377028
-4,85;-0,0004360715
-4,8;-0,0004333602
-4,75;-0,000430317
-4,7;-0,0004276913
-4,65;-0,0004273704
-4,6;-0,0004251324
-4,55;-0,0004200178
-4,5;-0,0004219906
-4,45;-0,0004212687
-4,4;-0,0004210701
-4,35;-0,0004184752
-4,3;-0,0004166996
-4,25;-0,0004161906
-4,2;-0,0004149627
-4,15;-0,0004129315
-4,1;-0,0004108688
-4,05;-0,0004103862
-4;-0,000409638
-3,95;-0,0004081035
-3,9;-0,0004065567
-3,85;-0,0004059012
-3,8;-0,0004055614
-3,75;-0,0004040258
-3,7;-0,0004021959
-3,65;-0,0004013466
-3,6;-0,0004015218
-3,55;-0,0003992899
-3,5;-0,0003966485
-3,45;-0,0003957215
-3,4;-0,0003957486
-3,35;-0,0003942347
-3,3;-0,0003915726
-3,25;-0,0003909172
-3,2;-0,0003903053
-3,15;-0,000388495
-3,1;-0,0003862139
-3,05;-0,0003841792
-3;-0,0003831448
-2,95;-0,000380979
-2,9;-0,0003787079
-2,85;-0,0003756192
-2,8;-0,000372942
-2,75;-0,000369862
-2,7;-0,0003658255
-2,65;-0,0003617441
-2,6;-0,0003581037
-2,55;-0,0003546057
-2,5;-0,0003481144
-2,45;-0,0003427436
-2,4;-0,0003373957
-2,35;-0,0003315923
-2,3;-0,0003245173
-2,25;-0,0003167748
-2,2;-0,0003089755
-2,15;-0,0002991968
-2,1;-0,0002875664
-2,05;-0,0002730149
-2;-0,0002576093
-1,95;-0,0002398527
-1,9;-0,0002180904
-1,85;-0,000193199
-1,8;-0,0001660289
-1,75;-0,0001361576
-1,7;-9,98097E-05
-1,65;-5,833344E-05
-1,6;-1,280376E-05
-1,55;3,899859E-05
-1,5;0,0001027312
-1,45;0,0001811529
-1,4;0,0002781612
-1,35;0,0004039387
-1,3;0,0005692649
-1,25;0,0007876766
-1,2;0,00107223
-1,15;0,00144063
-1,1;0,001912237
-1,05;0,002724837
-1;0,003267991
-0,95;0,004149396
-0,9;0,005223367
-0,85;0,006486603
-0,8;0,007946871
-0,75;0,009612777
-0,7;0,01149798
-0,65;0,01361818
-0,6;0,01600878
-0,55;0,01869633
-0,5;0,02340537
-0,45;0,02715418
-0,4;0,03129855
-0,35;0,03586646
-0,3;0,04080519
-0,25;0,0461073
-0,2;0,05179626
-0,15;0,05795808
-0,1;0,06458576
-0,05;0,07162471
0;0,07912128
0,05;0,08686597
0,1;0,09493241
0,15;0,1032192
0,2;0,1116243
0,25;0,1201191
0,3;0,1286897
0,35;0,1373667
0,4;0,1461422
0,45;0,1549869
0,5;0,1639189
0,55;0,1729641
0,6;0,1819248
0,65;0,1912475
0,7;0,2004748
0,75;0,209782
0,8;0,2190506
0,85;0,2283521
0,9;0,2376234
0,95;0,2468134
1;0,255871
1,05;0,2647902
1,1;0,2735737
1,15;0,2821812
1,2;0,2906017
1,25;0,2988407
1,3;0,3068995
1,35;0,3147923
1,4;0,3224574
1,45;0,3299123
1,5;0,337213
1,55;0,3443452
1,6;0,3512999
1,65;0,3580759
1,7;0,3647309
1,75;0,3712801
1,8;0,3777233
1,85;0,3840669
1,9;0,3903274
1,95;0,3965145
2;0,4026385
2,05;0,4087217
2,1;0,4147061
2,15;0,4206366
2,2;0,4264854
2,25;0,4322485
2,3;0,4379384
2,35;0,4435627
2,4;0,4491293
2,45;0,454563
2,5;0,4599458
2,55;0,4652804
2,6;0,4705184
2,65;0,4756617
2,7;0,4807184
2,75;0,4857173
2,8;0,4906345
2,85;0,4954431
2,9;0,5001708
2,95;0,5048001
3;0,5093714
3,05;0,5138317
3,1;0,5182081
3,15;0,5222208
3,2;0,5263843
3,25;0,5307832
3,3;0,5348924
3,35;0,5390438
3,4;0,5430775
3,45;0,5470885
3,5;0,5510396
3,55;0,5549625
3,6;0,5588464
3,65;0,5626886
3,7;0,5665106
3,75;0,5702705
3,8;0,5740408
3,85;0,5777663
3,9;0,581431
3,95;0,5850654
4;0,5886756
4,05;0,5922499
4,1;0,5957744
4,15;0,5992338
4,2;0,6026818
4,25;0,6060959
4,3;0,6094556
4,35;0,6127588
4,4;0,6160335
4,45;0,6192665
4,5;0,6224473
4,55;0,6255876
4,6;0,6286729
4,65;0,6317433
4,7;0,6347505
4,75;0,6377084
4,8;0,6406266
4,85;0,6435122
4,9;0,6463462
4,95;0,6491238
5;0,6518655
