Tensao [V];Corrente [A]
-5;-0.0004341283
-4.95;-0.0004131607
-4.9;-0.0004065434
-4.85;-0.0004052661
-4.8;-0.000403283
-4.75;-0.0004012694
-4.7;-0.0003989772
-4.65;-0.0003979921
-4.6;-0.0003967292
-4.55;-0.0003951018
-4.5;-0.0003937019
-4.45;-0.0003926038
-4.4;-0.0003918144
-4.35;-0.000388934
-4.3;-0.0003877662
-4.25;-0.0003874635
-4.2;-0.000387346
-4.15;-0.0003873935
-4.1;-0.0003854999
-4.05;-0.0003840548
-4;-0.0003828695
-3.95;-0.0003820408
-3.9;-0.0003801833
-3.85;-0.0003784989
-3.8;-0.0003771581
-3.75;-0.0003767143
-3.7;-0.000372981
-3.65;-0.0003722502
-3.6;-0.0003731991
-3.55;-0.0003736612
-3.5;-0.0003726647
-3.45;-0.0003717737
-3.4;-0.0003705934
-3.35;-0.000368778
-3.3;-0.0003676184
-3.25;-0.0003664434
-3.2;-0.000365063
-3.15;-0.0003635701
-3.1;-0.000362803
-3.05;-0.0003618811
-3;-0.0003603909
-2.95;-0.000359881
-2.9;-0.0003586892
-2.85;-0.000358143
-2.8;-0.0003572776
-2.75;-0.0003551092
-2.7;-0.0003536311
-2.65;-0.0003534071
-2.6;-0.0003518429
-2.55;-0.0003497765
-2.5;-0.0003473421
-2.45;-0.0003439694
-2.4;-0.0003410629
-2.35;-0.0003390923
-2.3;-0.000337467
-2.25;-0.0003344714
-2.2;-0.0003308176
-2.15;-0.0003264862
-2.1;-0.0003215675
-2.05;-0.0003170144
-2;-0.0003120378
-1.95;-0.000306096
-1.9;-0.0002997116
-1.85;-0.0002932558
-1.8;-0.0002863528
-1.75;-0.0002775441
-1.7;-0.0002723825
-1.65;-0.0002662664
-1.6;-0.0002595448
-1.55;-0.0002508646
-1.5;-0.0002395221
-1.45;-0.0002279226
-1.4;-0.0002141558
-1.35;-0.0001946517
-1.3;-0.0001708247
-1.25;-0.000139668
-1.2;-9.645328E-05
-1.15;-3.877064E-05
-1.1;3.557333E-05
-1.05;0.0001307427
-1;0.0002573441
-0.95;0.0004304703
-0.9;0.0006771744
-0.85;0.001042319
-0.8;0.001607097
-0.75;0.002878109
-0.7;0.00397078
-0.65;0.00616488
-0.6;0.00945675
-0.55;0.01410144
-0.5;0.02038395
-0.45;0.03289663
-0.4;0.04493953
-0.35;0.05950756
-0.3;0.07676437
-0.25;0.09649502
-0.2;0.1184124
-0.15;0.1423931
-0.1;0.1682497
-0.05;0.1956121
0;0.2244645
0.05;0.2542982
0.1;0.2852961
0.15;0.3171133
0.2;0.3496542
0.25;0.3830931
0.3;0.4174637
0.35;0.4527
0.4;0.4888091
0.45;0.5257387
0.5;0.5635186
0.55;0.6021842
0.6;0.6417028
0.65;0.682096
0.7;0.7233304
0.75;0.76536
0.8;0.8080164
0.85;0.8511993
0.9;0.8947741
0.95;0.9385899
1;0.9823315
1.05;1.025937
1.1;1.06907
1.15;1.111625
1.2;1.153529
1.25;1.194685
1.3;1.235005
1.35;1.274362
1.4;1.312672
1.45;1.349872
1.5;1.385932
1.55;1.420897
1.6;1.454776
1.65;1.487642
1.7;1.51967
1.75;1.550732
1.8;1.581041
1.85;1.61047
1.9;1.639222
1.95;1.667296
2;1.694685
2.05;1.721535
2.1;1.747897
2.15;1.773637
2.2;1.798776
2.25;1.823418
2.3;1.847322
2.35;1.870579
2.4;1.893141
2.45;1.915027
2.5;1.936275
2.55;1.956714
2.6;1.976495
2.65;1.995495
2.7;2.013799
2.75;2.031391
2.8;2.048403
2.85;2.064765
2.9;2.080453
2.95;2.095712
3;2.11049
3.05;2.124423
3.1;2.138019
3.15;2.151002
3.2;2.163973
3.25;2.17632
3.3;2.188418
3.35;2.200265
3.4;2.212062
3.45;2.223361
3.5;2.234546
3.55;2.245869
3.6;2.256994
3.65;2.267916
3.7;2.27913
3.75;2.289902
3.8;2.300938
3.85;2.311573
3.9;2.322211
3.95;2.332885
4;2.343611
4.05;2.354146
4.1;2.364795
4.15;2.375133
4.2;2.385346
4.25;2.395695
4.3;2.405893
4.35;2.416006
4.4;2.425932
4.45;2.435819
4.5;2.445894
4.55;2.455607
4.6;2.464943
4.65;2.474457
4.7;2.483933
4.75;2.493135
4.8;2.502172
4.85;2.510872
4.9;2.519911
4.95;2.528613
5;2.537054
