Tensao [V];Corrente [A]
-5;-0.0003672997
-4.95;-0.0003504307
-4.9;-0.0003436248
-4.85;-0.0003392158
-4.8;-0.0003370303
-4.75;-0.0003355829
-4.7;-0.0003340617
-4.65;-0.0003313762
-4.6;-0.0003300367
-4.55;-0.0003291211
-4.5;-0.0003257075
-4.45;-0.0003237821
-4.4;-0.0003236861
-4.35;-0.00032376
-4.3;-0.0003229547
-4.25;-0.0003222365
-4.2;-0.0003204519
-4.15;-0.0003200508
-4.1;-0.0003195852
-4.05;-0.0003173778
-4;-0.0003159767
-3.95;-0.0003146763
-3.9;-0.0003133969
-3.85;-0.0003104086
-3.8;-0.0003093948
-3.75;-0.0003111208
-3.7;-0.0003106524
-3.65;-0.000309135
-3.6;-0.0003070391
-3.55;-0.0003054261
-3.5;-0.0003058686
-3.45;-0.0003044909
-3.4;-0.0003031599
-3.35;-0.0003027197
-3.3;-0.0003025163
-3.25;-0.0003003494
-3.2;-0.0002977165
-3.15;-0.0002972349
-3.1;-0.0002980474
-3.05;-0.0002974028
-3;-0.0002954258
-2.95;-0.0002946387
-2.9;-0.0002941034
-2.85;-0.0002930444
-2.8;-0.0002914951
-2.75;-0.0002907767
-2.7;-0.0002899826
-2.65;-0.0002885973
-2.6;-0.0002843088
-2.55;-0.0002817142
-2.5;-0.0002818697
-2.45;-0.0002804061
-2.4;-0.0002782024
-2.35;-0.0002759067
-2.3;-0.0002732038
-2.25;-0.0002704953
-2.2;-0.0002657566
-2.15;-0.00026125
-2.1;-0.0002566416
-2.05;-0.000251881
-2;-0.0002458395
-1.95;-0.0002394035
-1.9;-0.0002349994
-1.85;-0.0002308934
-1.8;-0.0002246794
-1.75;-0.0002177652
-1.7;-0.0002107284
-1.65;-0.0002037997
-1.6;-0.0001958352
-1.55;-0.0001879112
-1.5;-0.0001799735
-1.45;-0.0001690908
-1.4;-0.0001560691
-1.35;-0.0001380147
-1.3;-0.0001171105
-1.25;-9.078541E-05
-1.2;-5.445365E-05
-1.15;-5.059788E-06
-1.1;5.884258E-05
-1.05;0.0001431519
-1;0.0002556453
-0.95;0.0004079656
-0.9;0.0006224921
-0.85;0.0009419646
-0.8;0.001437011
-0.75;0.002583319
-0.7;0.003511745
-0.65;0.005444408
-0.6;0.008372518
-0.55;0.01253478
-0.5;0.0182219
-0.45;0.0298387
-0.4;0.04085576
-0.35;0.05428758
-0.3;0.07020473
-0.25;0.08842036
-0.2;0.1085902
-0.15;0.1306803
-0.1;0.1545578
-0.05;0.1798821
0;0.2066068
0.05;0.2341297
0.1;0.2627508
0.15;0.2920392
0.2;0.3219328
0.25;0.3525163
0.3;0.3838868
0.35;0.4160058
0.4;0.448801
0.45;0.4822873
0.5;0.5164889
0.55;0.5514063
0.6;0.5870578
0.65;0.6233828
0.7;0.6604156
0.75;0.6980819
0.8;0.7362781
0.85;0.77489
0.9;0.8138422
0.95;0.8529442
1;0.8919143
1.05;0.9306166
1.1;0.9688546
1.15;1.006559
1.2;1.043626
1.25;1.079896
1.3;1.115255
1.35;1.149671
1.4;1.183142
1.45;1.215511
1.5;1.24692
1.55;1.277334
1.6;1.306745
1.65;1.335263
1.7;1.36287
1.75;1.3897
1.8;1.415794
1.85;1.441194
1.9;1.465936
1.95;1.490029
2;1.513545
2.05;1.536548
2.1;1.558949
2.15;1.580765
2.2;1.601974
2.25;1.622659
2.3;1.64277
2.35;1.662135
2.4;1.681031
2.45;1.699323
2.5;1.717047
2.55;1.734155
2.6;1.750724
2.65;1.766797
2.7;1.782298
2.75;1.797277
2.8;1.811748
2.85;1.825659
2.9;1.839112
2.95;1.852011
3;1.863847
3.05;1.875761
3.1;1.887283
3.15;1.898475
3.2;1.909328
3.25;1.919855
3.3;1.930181
3.35;1.940262
3.4;1.950282
3.45;1.960108
3.5;1.969825
3.55;1.979433
3.6;1.988964
3.65;1.998429
3.7;2.007773
3.75;2.017114
3.8;2.0264
3.85;2.035647
3.9;2.044833
3.95;2.053956
4;2.062988
4.05;2.071944
4.1;2.080936
4.15;2.089884
4.2;2.098728
4.25;2.107803
4.3;2.116328
4.35;2.125042
4.4;2.13357
4.45;2.142184
4.5;2.150536
4.55;2.158812
4.6;2.167027
4.65;2.175167
4.7;2.183082
4.75;2.191023
4.8;2.1988
4.85;2.206315
4.9;2.213994
4.95;2.221459
5;2.228877
