Tensao [V];Corrente [A]
-5;-0,0002184031
-4,95;-0,000203369
-4,9;-0,0001980704
-4,85;-0,0001958974
-4,8;-0,0001921198
-4,75;-0,0001890017
-4,7;-0,0001869511
-4,65;-0,0001863615
-4,6;-0,000184327
-4,55;-0,0001819148
-4,5;-0,0001806303
-4,45;-0,0001795149
-4,4;-0,0001778687
-4,35;-0,0001757448
-4,3;-0,0001744676
-4,25;-0,0001738855
-4,2;-0,0001727222
-4,15;-0,0001706693
-4,1;-0,0001689079
-4,05;-0,000168473
-4;-0,0001673881
-3,95;-0,0001655116
-3,9;-0,0001637233
-3,85;-0,0001634364
-3,8;-0,0001629941
-3,75;-0,000161592
-3,7;-0,0001597141
-3,65;-0,0001588354
-3,6;-0,0001580631
-3,55;-0,0001567971
-3,5;-0,0001558618
-3,45;-0,000155683
-3,4;-0,0001557957
-3,35;-0,0001536839
-3,3;-0,0001512069
-3,25;-0,0001501134
-3,2;-0,0001492973
-3,15;-0,0001472331
-3,1;-0,0001450085
-3,05;-0,0001444103
-3;-0,0001441775
-2,95;-0,0001434053
-2,9;-0,0001415301
-2,85;-0,0001397308
-2,8;-0,0001386791
-2,75;-0,000138195
-2,7;-0,0001368381
-2,65;-0,0001360476
-2,6;-0,0001357804
-2,55;-0,0001356359
-2,5;-0,0001323964
-2,45;-0,0001304524
-2,4;-0,0001295735
-2,35;-0,0001296299
-2,3;-0,0001274139
-2,25;-0,0001254296
-2,2;-0,0001243105
-2,15;-0,0001234845
-2,1;-0,000122162
-2,05;-0,0001199153
-2;-0,0001188771
-1,95;-0,0001187521
-1,9;-0,0001176294
-1,85;-0,0001151389
-1,8;-0,0001140713
-1,75;-0,0001142858
-1,7;-0,0001130539
-1,65;-0,0001111284
-1,6;-0,0001089786
-1,55;-0,0001082174
-1,5;-0,0001078595
-1,45;-0,000106211
-1,4;-0,0001036518
-1,35;-0,0001031628
-1,3;-0,0001026737
-1,25;-0,0001002138
-1,2;-9,821589E-05
-1,15;-9,653189E-05
-1,1;-9,614576E-05
-1,05;-9,382677E-05
-1;-9,113151E-05
-0,95;-8,930038E-05
-0,9;-8,817643E-05
-0,85;-8,435225E-05
-0,8;-8,129055E-05
-0,75;-7,665144E-05
-0,7;-7,087479E-05
-0,65;-6,126795E-05
-0,6;-4,235702E-05
-0,55;-9,22214E-06
-0,5;5,873916E-05
-0,45;0,0001929252
-0,4;0,0004359107
-0,35;0,0008396141
-0,3;0,001465979
-0,25;0,002795582
-0,2;0,003812783
-0,15;0,005750868
-0,1;0,00852699
-0,05;0,01215346
0;0,01737919
0,05;0,02315783
0,1;0,02768405
0,15;0,032128
0,2;0,03644846
0,25;0,04067033
0,3;0,04485572
0,35;0,0490281
0,4;0,05316232
0,45;0,057246
0,5;0,06129953
0,55;0,06532088
0,6;0,06925347
0,65;0,07308023
0,7;0,07679172
0,75;0,0804265
0,8;0,0839501
0,85;0,08736674
0,9;0,09064762
0,95;0,09383772
1;0,09692881
1,05;0,09989314
1,1;0,1027138
1,15;0,1054124
1,2;0,1079987
1,25;0,1104614
1,3;0,1127902
1,35;0,1150114
1,4;0,1171489
1,45;0,1191486
1,5;0,1210616
1,55;0,1228947
1,6;0,1246492
1,65;0,1263096
1,7;0,127881
1,75;0,1293553
1,8;0,1307704
1,85;0,1321134
1,9;0,1333774
1,95;0,1345851
2;0,1357401
2,05;0,1368689
2,1;0,1379405
2,15;0,1389585
2,2;0,1399536
2,25;0,1409249
2,3;0,1418595
2,35;0,1427487
2,4;0,1436219
2,45;0,1444807
2,5;0,1453117
2,55;0,146105
2,6;0,1468724
2,65;0,1476348
2,7;0,1483796
2,75;0,1490921
2,8;0,1497772
2,85;0,1504481
2,9;0,1511032
2,95;0,1517449
3;0,1523285
3,05;0,1529087
3,1;0,1534743
3,15;0,1539906
3,2;0,1544863
3,25;0,1549767
3,3;0,1554503
3,35;0,1559053
3,4;0,1563209
3,45;0,1567463
3,5;0,1571811
3,55;0,1575954
3,6;0,157987
3,65;0,1583915
3,7;0,1588165
3,75;0,1592312
3,8;0,1596194
3,85;0,160029
3,9;0,1604457
3,95;0,1608693
4;0,1613049
4,05;0,1617132
4,1;0,1621426
4,15;0,1626042
4,2;0,1630041
4,25;0,1634226
4,3;0,1638505
4,35;0,1642784
4,4;0,1647001
4,45;0,1650958
4,5;0,1654968
4,55;0,165937
4,6;0,1663384
4,65;0,1667457
4,7;0,1671455
4,75;0,1675696
4,8;0,1679707
4,85;0,168352
4,9;0,1687326
4,95;0,1691287
5;0,1695124
