Tensao [V];Corrente [A]
-5;-0.001057973
-4.95;-0.001041842
-4.9;-0.001036076
-4.85;-0.001032854
-4.8;-0.001031266
-4.75;-0.001027697
-4.7;-0.001024211
-4.65;-0.001023408
-4.6;-0.001023172
-4.55;-0.001021897
-4.5;-0.001021211
-4.45;-0.001019656
-4.4;-0.001018561
-4.35;-0.001016948
-4.3;-0.001015438
-4.25;-0.001014601
-4.2;-0.001012717
-4.15;-0.001011768
-4.1;-0.00100829
-4.05;-0.001007093
-4;-0.001007232
-3.95;-0.00100675
-3.9;-0.001005793
-3.85;-0.001005338
-3.8;-0.001003802
-3.75;-0.001001799
-3.7;-0.001001046
-3.65;-0.0009988678
-3.6;-0.0009989167
-3.55;-0.0009973773
-3.5;-0.0009951718
-3.45;-0.0009921242
-3.4;-0.0009911367
-3.35;-0.0009912883
-3.3;-0.0009908824
-3.25;-0.0009904756
-3.2;-0.0009888546
-3.15;-0.0009867189
-3.1;-0.0009851678
-3.05;-0.0009836326
-3;-0.00098189
-2.95;-0.000979826
-2.9;-0.000978272
-2.85;-0.0009762081
-2.8;-0.0009729944
-2.75;-0.0009721787
-2.7;-0.0009714818
-2.65;-0.0009692558
-2.6;-0.0009662918
-2.55;-0.0009621617
-2.5;-0.0009582475
-2.45;-0.0009532795
-2.4;-0.0009474094
-2.35;-0.0009399747
-2.3;-0.0009321965
-2.25;-0.00092458
-2.2;-0.0009116674
-2.15;-0.0009007972
-2.1;-0.0008914401
-2.05;-0.0008801042
-2;-0.0008657093
-1.95;-0.0008510959
-1.9;-0.0008349837
-1.85;-0.0008127086
-1.8;-0.0007888813
-1.75;-0.0007679959
-1.7;-0.000744321
-1.65;-0.0007136128
-1.6;-0.0006730657
-1.55;-0.0006113585
-1.5;-0.00053337
-1.45;-0.0004295487
-1.4;-0.0003095573
-1.35;-0.000144789
-1.3;8.952061E-05
-1.25;0.0003491132
-1.2;0.0006753026
-1.15;0.001083472
-1.1;0.001602094
-1.05;0.002584303
-1;0.003329332
-0.95;0.004727842
-0.9;0.006803376
-0.85;0.009822178
-0.8;0.01416825
-0.75;0.02027202
-0.7;0.03302466
-0.65;0.04547753
-0.6;0.06161805
-0.55;0.08287895
-0.5;0.1096441
-0.45;0.1417346
-0.4;0.177912
-0.35;0.2166112
-0.3;0.2574199
-0.25;0.3000079
-0.2;0.3441423
-0.15;0.3897123
-0.1;0.4366162
-0.05;0.4847614
0;0.5343987
0.05;0.5847465
0.1;0.6366021
0.15;0.6898119
0.2;0.7444139
0.25;0.8005766
0.3;0.8584091
0.35;0.9179957
0.4;0.9793149
0.45;1.042381
0.5;1.10719
0.55;1.173798
0.6;1.242054
0.65;1.311859
0.7;1.383094
0.75;1.455601
0.8;1.529147
0.85;1.603561
0.9;1.678574
0.95;1.754025
1;1.829758
1.05;1.905593
1.1;1.981411
1.15;2.05714
1.2;2.132873
1.25;2.208088
1.3;2.282844
1.35;2.357436
1.4;2.431218
1.45;2.504427
1.5;2.577157
1.55;2.648904
1.6;2.720076
1.65;2.790276
1.7;2.859739
1.75;2.928212
1.8;2.995553
1.85;3.062108
1.9;3.127671
1.95;3.192457
2;3.256084
2.05;3.319293
2.1;3.381711
2.15;3.443387
2.2;3.504273
2.25;3.564106
2.3;3.623232
2.35;3.68127
2.4;3.738351
2.45;3.794328
2.5;3.84912
2.55;3.90309
2.6;3.956096
2.65;4.008056
2.7;4.058943
2.75;4.109014
2.8;4.157817
2.85;4.205343
2.9;4.251911
2.95;4.297104
3;4.341057
3.05;4.38399
3.1;4.42603
3.15;4.466649
3.2;4.506825
3.25;4.545965
3.3;4.584279
3.35;4.622033
3.4;4.658757
3.45;4.695261
3.5;4.731442
3.55;4.767111
3.6;4.802451
3.65;4.837307
3.7;4.87189
3.75;4.905942
3.8;4.939925
3.85;4.973371
3.9;5.006571
3.95;5.039341
4;5.071898
4.05;5.103979
4.1;5.135613
4.15;5.167217
4.2;5.198162
4.25;5.228687
4.3;5.25866
4.35;5.288447
4.4;5.317762
4.45;5.346498
4.5;5.374677
4.55;5.402779
4.6;5.429933
4.65;5.457023
4.7;5.483603
4.75;5.509607
4.8;5.535371
4.85;5.560227
4.9;5.584959
4.95;5.609293
5;5.633271
