Tensao [V];Corrente [A]
-5;-0,0004381473
-4,95;-0,0004230364
-4,9;-0,0004165022
-4,85;-0,0004136623
-4,8;-0,0004106144
-4,75;-0,0004086005
-4,7;-0,0004064874
-4,65;-0,0004033855
-4,6;-0,0003979984
-4,55;-0,0003927698
-4,5;-0,0003885043
-4,45;-0,0003849093
-4,4;-0,0003860445
-4,35;-0,0003894874
-4,3;-0,0003900868
-4,25;-0,0003901702
-4,2;-0,0003886588
-4,15;-0,00038827
-4,1;-0,0003877678
-4,05;-0,0003877321
-4;-0,0003872738
-3,95;-0,000386661
-3,9;-0,0003851842
-3,85;-0,0003837035
-3,8;-0,000380215
-3,75;-0,0003791218
-3,7;-0,0003745269
-3,65;-0,0003707321
-3,6;-0,0003758176
-3,55;-0,0003772563
-3,5;-0,0003763629
-3,45;-0,0003754451
-3,4;-0,000374749
-3,35;-0,0003743465
-3,3;-0,0003739642
-3,25;-0,000372453
-3,2;-0,0003693618
-3,15;-0,0003639321
-3,1;-0,0003642595
-3,05;-0,000365756
-3;-0,000365077
-2,95;-0,0003648551
-2,9;-0,0003639176
-2,85;-0,0003590861
-2,8;-0,0003458537
-2,75;-0,0003238383
-2,7;-0,0003261501
-2,65;-0,0003333362
-2,6;-0,0003278817
-2,55;-0,0003192813
-2,5;-0,000292053
-2,45;-0,0003069057
-2,4;-0,0003191747
-2,35;-0,0003205107
-2,3;-0,0003187896
-2,25;-0,0003143283
-2,2;-0,0003090973
-2,15;-0,0003046591
-2,1;-0,00032602
-2,05;-0,0003062366
-2;-0,0002965758
-1,95;-0,0002877814
-1,9;-0,0002783712
-1,85;-0,0002689138
-1,8;-0,0002607951
-1,75;-0,0002502922
-1,7;-0,0002383481
-1,65;-0,0002231816
-1,6;-0,000204765
-1,55;-0,0001821672
-1,5;-0,0001528542
-1,45;-0,000114486
-1,4;-6,622782E-05
-1,35;-7,155599E-06
-1,3;6,727933E-05
-1,25;0,0001594478
-1,2;0,0002720803
-1,15;0,000411655
-1,1;0,000589757
-1,05;0,0008280143
-1;0,001159315
-0,95;0,001636168
-0,9;0,0026065
-0,85;0,00339856
-0,8;0,004889315
-0,75;0,007060425
-0,7;0,01007497
-0,65;0,01412637
-0,6;0,01944105
-0,55;0,02999436
-0,5;0,04022857
-0,45;0,05292081
-0,4;0,06776801
-0,35;0,08440027
-0,3;0,1023201
-0,25;0,1212392
-0,2;0,1411813
-0,15;0,1621171
-0,1;0,1839946
-0,05;0,2067079
0;0,2303195
0,05;0,2544408
0,1;0,2793415
0,15;0,30492
0,2;0,3311079
0,25;0,3579388
0,3;0,3854664
0,35;0,4137305
0,4;0,4427277
0,45;0,472423
0,5;0,5027751
0,55;0,5337158
0,6;0,5652064
0,65;0,5972459
0,7;0,6297366
0,75;0,6626144
0,8;0,6957233
0,85;0,7290056
0,9;0,7623539
0,95;0,7957379
1;0,8290517
1,05;0,8621915
1,1;0,8950537
1,15;0,9274851
1,2;0,9594621
1,25;0,9908742
1,3;1,021756
1,35;1,052069
1,4;1,081771
1,45;1,110806
1,5;1,139166
1,55;1,166724
1,6;1,193568
1,65;1,219738
1,7;1,24525
1,75;1,270104
1,8;1,294352
1,85;1,318057
1,9;1,341244
1,95;1,363971
2;1,386251
2,05;1,408099
2,1;1,429536
2,15;1,45056
2,2;1,471094
2,25;1,491247
2,3;1,510957
2,35;1,530244
2,4;1,549084
2,45;1,567508
2,5;1,585362
2,55;1,602475
2,6;1,6195
2,65;1,636221
2,7;1,652462
2,75;1,668262
2,8;1,68364
2,85;1,698455
2,9;1,712821
2,95;1,726719
3;1,740129
3,05;1,753124
3,1;1,765671
3,15;1,777863
3,2;1,78971
3,25;1,801265
3,3;1,812604
3,35;1,823703
3,4;1,834744
3,45;1,845642
3,5;1,856388
3,55;1,867075
3,6;1,877681
3,65;1,888178
3,7;1,898666
3,75;1,909041
3,8;1,919336
3,85;1,929553
3,9;1,939539
3,95;1,949624
4;1,959576
4,05;1,969518
4,1;1,979283
4,15;1,989035
4,2;1,998607
4,25;2,008254
4,3;2,017726
4,35;2,027141
4,4;2,036428
4,45;2,045615
4,5;2,054682
4,55;2,0637
4,6;2,072557
4,65;2,081272
4,7;2,089899
4,75;2,098397
4,8;2,106709
4,85;2,114885
4,9;2,123113
4,95;2,130952
5;2,138805
