Tensao [V];Corrente [A]
-5;-0,0004403793
-4,95;-0,0004209243
-4,9;-0,0004142289
-4,85;-0,000413089
-4,8;-0,0004122039
-4,75;-0,0004097614
-4,7;-0,0004074164
-4,65;-0,0004056221
-4,6;-0,0004039149
-4,55;-0,0004021596
-4,5;-0,0004001951
-4,45;-0,0003989251
-4,4;-0,0003979631
-4,35;-0,0003967802
-4,3;-0,0003951317
-4,25;-0,0003945742
-4,2;-0,0003937017
-4,15;-0,0003920638
-4,1;-0,000390662
-4,05;-0,0003898258
-4;-0,0003892435
-3,95;-0,0003874457
-3,9;-0,000386447
-3,85;-0,0003850593
-3,8;-0,0003838838
-3,75;-0,0003832329
-3,7;-0,0003799275
-3,65;-0,0003783439
-3,6;-0,0003792754
-3,55;-0,0003799605
-3,5;-0,0003777273
-3,45;-0,0003760896
-3,4;-0,0003755861
-3,35;-0,0003746264
-3,3;-0,0003733628
-3,25;-0,0003719827
-3,2;-0,0003717386
-3,15;-0,000370403
-3,1;-0,000368568
-3,05;-0,0003651424
-3;-0,0003641557
-2,95;-0,0003649019
-2,9;-0,0003637841
-2,85;-0,0003627312
-2,8;-0,0003618145
-2,75;-0,0003605435
-2,7;-0,0003579659
-2,65;-0,000355592
-2,6;-0,00035354
-2,55;-0,000350765
-2,5;-0,0003469841
-2,45;-0,000341934
-2,4;-0,0003381188
-2,35;-0,0003345129
-2,3;-0,0003317011
-2,25;-0,0003264343
-2,2;-0,0003208478
-2,15;-0,0003151937
-2,1;-0,0003081673
-2,05;-0,0003010054
-2;-0,0002939924
-1,95;-0,0002868785
-1,9;-0,0002778858
-1,85;-0,0002692142
-1,8;-0,0002589088
-1,75;-0,0002477184
-1,7;-0,0002367476
-1,65;-0,0002219587
-1,6;-0,0002040125
-1,55;-0,0001810164
-1,5;-0,0001507301
-1,45;-0,0001123166
-1,4;-6,456582E-05
-1,35;-5,427413E-06
-1,3;6,881644E-05
-1,25;0,000160426
-1,2;0,0002723932
-1,15;0,0004119885
-1,1;0,0005898255
-1,05;0,0008258158
-1;0,001154559
-0,95;0,001628448
-0,9;0,002582631
-0,85;0,003382811
-0,8;0,004869224
-0,75;0,007031613
-0,7;0,0100364
-0,65;0,01407453
-0,6;0,01936587
-0,55;0,02992616
-0,5;0,04007612
-0,45;0,05270014
-0,4;0,06747639
-0,35;0,08406187
-0,3;0,1018875
-0,25;0,1207138
-0,2;0,140574
-0,15;0,161436
-0,1;0,1832163
-0,05;0,2058357
0;0,2293562
0,05;0,2533808
0,1;0,2781779
0,15;0,3036438
0,2;0,3297416
0,25;0,3564849
0,3;0,3838962
0,35;0,4120477
0,4;0,4409396
0,45;0,4705159
0,5;0,500732
0,55;0,5315439
0,6;0,5629359
0,65;0,5948444
0,7;0,6272119
0,75;0,6599259
0,8;0,692913
0,85;0,7260393
0,9;0,7592739
0,95;0,7925229
1;0,825696
1,05;0,8587052
1,1;0,8913792
1,15;0,9236958
1,2;0,9555488
1,25;0,986842
1,3;1,017606
1,35;1,047789
1,4;1,077357
1,45;1,106272
1,5;1,134496
1,55;1,161962
1,6;1,188697
1,65;1,214786
1,7;1,240145
1,75;1,264904
1,8;1,289041
1,85;1,312649
1,9;1,335748
1,95;1,358408
2;1,380577
2,05;1,402362
2,1;1,423711
2,15;1,444646
2,2;1,465125
2,25;1,485213
2,3;1,504836
2,35;1,52405
2,4;1,542842
2,45;1,561256
2,5;1,579207
2,55;1,596738
2,6;1,61383
2,65;1,630433
2,7;1,646666
2,75;1,662399
2,8;1,677734
2,85;1,692519
2,9;1,706881
2,95;1,720725
3;1,734048
3,05;1,746957
3,1;1,759479
3,15;1,771638
3,2;1,78344
3,25;1,794968
3,3;1,806268
3,35;1,817375
3,4;1,828336
3,45;1,839163
3,5;1,849884
3,55;1,860527
3,6;1,871041
3,65;1,881458
3,7;1,891821
3,75;1,90213
3,8;1,912389
3,85;1,922557
3,9;1,932689
3,95;1,942702
4;1,952652
4,05;1,962517
4,1;1,972286
4,15;1,982004
4,2;1,991632
4,25;2,001207
4,3;2,010647
4,35;2,019988
4,4;2,029312
4,45;2,038471
4,5;2,047588
4,55;2,056557
4,6;2,065373
4,65;2,074124
4,7;2,082711
4,75;2,091196
4,8;2,099504
4,85;2,107859
4,9;2,115861
4,95;2,123851
5;2,131628
