Tensao [V];Corrente [A]
-5;-0.0004405167
-4.95;-0.0004228934
-4.9;-0.0004160997
-4.85;-0.0004124946
-4.8;-0.000410687
-4.75;-0.0004091534
-4.7;-0.000406924
-4.65;-0.0004044079
-4.6;-0.0004033255
-4.55;-0.0004019332
-4.5;-0.0004005958
-4.45;-0.0003990012
-4.4;-0.0003976594
-4.35;-0.0003969411
-4.3;-0.0003950253
-4.25;-0.0003933866
-4.2;-0.0003923105
-4.15;-0.0003912159
-4.1;-0.0003881824
-4.05;-0.0003868648
-4;-0.0003886348
-3.95;-0.0003886531
-3.9;-0.00038705
-3.85;-0.0003855694
-3.8;-0.000383358
-3.75;-0.0003830113
-3.7;-0.0003817724
-3.65;-0.00038042
-3.6;-0.0003798944
-3.55;-0.0003791077
-3.5;-0.0003760579
-3.45;-0.0003729535
-3.4;-0.0003729252
-3.35;-0.0003737056
-3.3;-0.0003723944
-3.25;-0.0003715878
-3.2;-0.0003708357
-3.15;-0.000370848
-3.1;-0.0003689725
-3.05;-0.0003673448
-3;-0.0003664992
-2.95;-0.0003649105
-2.9;-0.0003642121
-2.85;-0.0003596785
-2.8;-0.0003572685
-2.75;-0.0003590913
-2.7;-0.0003586035
-2.65;-0.0003559707
-2.6;-0.0003538011
-2.55;-0.0003516626
-2.5;-0.0003479254
-2.45;-0.0003437789
-2.4;-0.0003393814
-2.35;-0.0003354284
-2.3;-0.0003302918
-2.25;-0.0003233518
-2.2;-0.0003168227
-2.15;-0.0003121971
-2.1;-0.0003073263
-2.05;-0.0003006553
-2;-0.0002933427
-1.95;-0.0002860661
-1.9;-0.0002777535
-1.85;-0.0002679321
-1.8;-0.0002577554
-1.75;-0.0002480273
-1.7;-0.0002361262
-1.65;-0.0002209327
-1.6;-0.0002007338
-1.55;-0.0001780357
-1.5;-0.0001496444
-1.45;-0.0001124306
-1.4;-6.453154E-05
-1.35;-5.565916E-06
-1.3;6.82195E-05
-1.25;0.0001601464
-1.2;0.000271979
-1.15;0.000410268
-1.1;0.0005875705
-1.05;0.0008248197
-1;0.001154718
-0.95;0.001631451
-0.9;0.002620268
-0.85;0.003383055
-0.8;0.004866389
-0.75;0.007029387
-0.7;0.01003268
-0.65;0.01406719
-0.6;0.01935727
-0.55;0.02983023
-0.5;0.04003646
-0.45;0.05267018
-0.4;0.06745029
-0.35;0.08401872
-0.3;0.1018446
-0.25;0.1206788
-0.2;0.1405347
-0.15;0.1613882
-0.1;0.1831594
-0.05;0.2057782
0;0.2293002
0.05;0.2533105
0.1;0.2780994
0.15;0.3035616
0.2;0.3296611
0.25;0.3563806
0.3;0.3837646
0.35;0.4119147
0.4;0.440802
0.45;0.4703621
0.5;0.5005598
0.55;0.5313656
0.6;0.562723
0.65;0.5946136
0.7;0.6269437
0.75;0.6596659
0.8;0.6926543
0.85;0.7257661
0.9;0.7589533
0.95;0.7921937
1;0.8253724
1.05;0.8583695
1.1;0.8910229
1.15;0.9233549
1.2;0.9551895
1.25;0.9865219
1.3;1.017204
1.35;1.047406
1.4;1.076995
1.45;1.105857
1.5;1.134078
1.55;1.16158
1.6;1.188343
1.65;1.214346
1.7;1.239673
1.75;1.26444
1.8;1.288579
1.85;1.312199
1.9;1.33527
1.95;1.357919
2;1.380088
2.05;1.401848
2.1;1.42321
2.15;1.444143
2.2;1.464648
2.25;1.484728
2.3;1.504383
2.35;1.52361
2.4;1.542418
2.45;1.560814
2.5;1.578788
2.55;1.596298
2.6;1.613323
2.65;1.629976
2.7;1.646188
2.75;1.661944
2.8;1.677279
2.85;1.692073
2.9;1.706394
2.95;1.720238
3;1.733599
3.05;1.746528
3.1;1.759036
3.15;1.771173
3.2;1.782988
3.25;1.794508
3.3;1.805819
3.35;1.816941
3.4;1.827929
3.45;1.838745
3.5;1.84946
3.55;1.860116
3.6;1.870624
3.65;1.881044
3.7;1.891475
3.75;1.90175
3.8;1.911995
3.85;1.92214
3.9;1.932302
3.95;1.94232
4;1.952257
4.05;1.962128
4.1;1.971906
4.15;1.981614
4.2;1.99123
4.25;2.000778
4.3;2.010241
4.35;2.019672
4.4;2.028967
4.45;2.038085
4.5;2.047181
4.55;2.056141
4.6;2.065007
4.65;2.073756
4.7;2.082359
4.75;2.090817
4.8;2.099105
4.85;2.107574
4.9;2.115511
4.95;2.123376
5;2.131079
