Tensao [V];Corrente [A]
-5;-0,0004396152
-4,95;-0,0004219546
-4,9;-0,0004164472
-4,85;-0,0004132472
-4,8;-0,0004096904
-4,75;-0,0004066434
-4,7;-0,0004046994
-4,65;-0,0004047843
-4,6;-0,0004038758
-4,55;-0,0004023079
-4,5;-0,000401053
-4,45;-0,0004003938
-4,4;-0,0003992818
-4,35;-0,0003976825
-4,3;-0,0003963686
-4,25;-0,0003948499
-4,2;-0,0003926487
-4,15;-0,0003902118
-4,1;-0,0003884655
-4,05;-0,0003884835
-4;-0,0003884789
-3,95;-0,0003874616
-3,9;-0,0003864787
-3,85;-0,0003857344
-3,8;-0,0003838631
-3,75;-0,0003828577
-3,7;-0,0003823211
-3,65;-0,0003810365
-3,6;-0,0003795192
-3,55;-0,000378003
-3,5;-0,0003756375
-3,45;-0,0003746009
-3,4;-0,0003752378
-3,35;-0,0003745714
-3,3;-0,0003735675
-3,25;-0,0003728309
-3,2;-0,0003715145
-3,15;-0,0003696344
-3,1;-0,0003684662
-3,05;-0,0003666122
-3;-0,0003655261
-2,95;-0,0003647132
-2,9;-0,0003625488
-2,85;-0,0003604711
-2,8;-0,0003595065
-2,75;-0,0003591291
-2,7;-0,0003579438
-2,65;-0,0003561707
-2,6;-0,0003538377
-2,55;-0,0003507014
-2,5;-0,0003474962
-2,45;-0,0003438732
-2,4;-0,0003402761
-2,35;-0,0003357509
-2,3;-0,0003306888
-2,25;-0,0003243804
-2,2;-0,0003175361
-2,15;-0,0003124839
-2,1;-0,00030651
-2,05;-0,000300417
-2;-0,0002933465
-1,95;-0,0002854556
-1,9;-0,0002775365
-1,85;-0,0002690195
-1,8;-0,0002598685
-1,75;-0,0002486696
-1,7;-0,0002358785
-1,65;-0,0002201078
-1,6;-0,0002011886
-1,55;-0,000178026
-1,5;-0,0001490694
-1,45;-0,0001123546
-1,4;-6,535273E-05
-1,35;-5,62597E-06
-1,3;6,927851E-05
-1,25;0,0001606748
-1,2;0,0002719216
-1,15;0,0004105373
-1,1;0,0005888219
-1,05;0,0008259109
-1;0,00115623
-0,95;0,001631708
-0,9;0,002588566
-0,85;0,003384577
-0,8;0,004869884
-0,75;0,007031029
-0,7;0,01003218
-0,65;0,01406923
-0,6;0,01936295
-0,55;0,02992088
-0,5;0,0400676
-0,45;0,05269417
-0,4;0,06747261
-0,35;0,08404224
-0,3;0,101876
-0,25;0,1207136
-0,2;0,1405801
-0,15;0,1614322
-0,1;0,1832133
-0,05;0,2058462
0;0,2293618
0,05;0,2533869
0,1;0,278188
0,15;0,3036608
0,2;0,3297511
0,25;0,3564789
0,3;0,3839022
0,35;0,4120495
0,4;0,4409372
0,45;0,4705272
0,5;0,5007457
0,55;0,5315756
0,6;0,5629527
0,65;0,594853
0,7;0,627204
0,75;0,6599345
0,8;0,6929165
0,85;0,7260687
0,9;0,7592664
0,95;0,792518
1;0,8256812
1,05;0,8587096
1,1;0,8914147
1,15;0,9237099
1,2;0,9555622
1,25;0,9868502
1,3;1,017592
1,35;1,047777
1,4;1,07738
1,45;1,10628
1,5;1,134498
1,55;1,161979
1,6;1,188737
1,65;1,214785
1,7;1,240176
1,75;1,264924
1,8;1,289082
1,85;1,31267
1,9;1,335765
1,95;1,358409
2;1,380597
2,05;1,402372
2,1;1,423708
2,15;1,444625
2,2;1,465116
2,25;1,485202
2,3;1,504874
2,35;1,524099
2,4;1,542908
2,45;1,561285
2,5;1,579258
2,55;1,596788
2,6;1,613847
2,65;1,630478
2,7;1,646708
2,75;1,662478
2,8;1,677784
2,85;1,69261
2,9;1,706962
2,95;1,720773
3;1,734154
3,05;1,747081
3,1;1,759585
3,15;1,771728
3,2;1,783538
3,25;1,795069
3,3;1,806339
3,35;1,81744
3,4;1,8284
3,45;1,839264
3,5;1,849982
3,55;1,860594
3,6;1,871095
3,65;1,881553
3,7;1,89197
3,75;1,902248
3,8;1,912469
3,85;1,922637
3,9;1,932802
3,95;1,942814
4;1,952765
4,05;1,962634
4,1;1,972402
4,15;1,982088
4,2;1,991688
4,25;2,001226
4,3;2,010702
4,35;2,020076
4,4;2,029367
4,45;2,038612
4,5;2,0477
4,55;2,056722
4,6;2,065598
4,65;2,0743
4,7;2,082898
4,75;2,091345
4,8;2,099652
4,85;2,108058
4,9;2,116174
4,95;2,124088
5;2,131766
