Tensao [V];Corrente [A]
-5;-0,0001351412
-4,95;-0,0001229213
-4,9;-0,0001184882
-4,85;-0,0001156116
-4,8;-0,0001123525
-4,75;-0,0001104294
-4,7;-0,0001078789
-4,65;-0,0001063627
-4,6;-0,0001044801
-4,55;-0,0001034408
-4,5;-0,0001023891
-4,45;-0,0001000163
-4,4;-9,716652E-05
-4,35;-9,77488E-05
-4,3;-9,716538E-05
-4,25;-9,572278E-05
-4,2;-9,438802E-05
-4,15;-9,418458E-05
-4,1;-9,378622E-05
-4,05;-9,193427E-05
-4;-9,039977E-05
-3,95;-8,859198E-05
-3,9;-8,684905E-05
-3,85;-8,649359E-05
-3,8;-8,292205E-05
-3,75;-8,255313E-05
-3,7;-8,26291E-05
-3,65;-8,130781E-05
-3,6;-8,090097E-05
-3,55;-7,991427E-05
-3,5;-7,890925E-05
-3,45;-7,696288E-05
-3,4;-7,607911E-05
-3,35;-7,487926E-05
-3,3;-7,405804E-05
-3,25;-7,261545E-05
-3,2;-7,051221E-05
-3,15;-6,846172E-05
-3,1;-6,775085E-05
-3,05;-6,815288E-05
-3;-6,741866E-05
-2,95;-6,54613E-05
-2,9;-6,466951E-05
-2,85;-6,338994E-05
-2,8;-6,237388E-05
-2,75;-6,162868E-05
-2,7;-6,093617E-05
-2,65;-5,963822E-05
-2,6;-5,842968E-05
-2,55;-5,632282E-05
-2,5;-5,373297E-05
-2,45;-5,445982E-05
-2,4;-5,32366E-05
-2,35;-5,273163E-05
-2,3;-5,176703E-05
-2,25;-5,094706E-05
-2,2;-4,88181E-05
-2,15;-4,818691E-05
-2,1;-4,754588E-05
-2,05;-4,607511E-05
-2;-4,513988E-05
-1,95;-4,461904E-05
-1,9;-4,177668E-05
-1,85;-4,043095E-05
-1,8;-4,060006E-05
-1,75;-4,01466E-05
-1,7;-3,874812E-05
-1,65;-3,762785E-05
-1,6;-3,696478E-05
-1,55;-3,61987E-05
-1,5;-3,434307E-05
-1,45;-3,407591E-05
-1,4;-3,290538E-05
-1,35;-3,179004E-05
-1,3;-2,977997E-05
-1,25;-2,715582E-05
-1,2;-2,652584E-05
-1,15;-2,719139E-05
-1,1;-2,637264E-05
-1,05;-2,533939E-05
-1;-2,440668E-05
-0,95;-2,254613E-05
-0,9;-2,154601E-05
-0,85;-1,993058E-05
-0,8;-1,778935E-05
-0,75;-1,552924E-05
-0,7;-1,276416E-05
-0,65;-9,239163E-06
-0,6;-4,08405E-06
-0,55;3,939188E-06
-0,5;1,617764E-05
-0,45;4,214621E-05
-0,4;9,131697E-05
-0,35;0,0001835363
-0,3;0,0003565882
-0,25;0,0006752391
-0,2;0,001251811
-0,15;0,002736321
-0,1;0,003871541
-0,05;0,006008253
0;0,009224049
0,05;0,01148365
0,1;0,01421314
0,15;0,01692704
0,2;0,0195575
0,25;0,02339236
0,3;0,02586308
0,35;0,02830774
0,4;0,03068481
0,45;0,03300418
0,5;0,03525421
0,55;0,03745159
0,6;0,03959729
0,65;0,04168808
0,7;0,04373046
0,75;0,04571952
0,8;0,04766278
0,85;0,04954868
0,9;0,05138015
0,95;0,05317164
1;0,05490278
1,05;0,05656657
1,1;0,05817
1,15;0,05970442
1,2;0,06116886
1,25;0,0625576
1,3;0,06387085
1,35;0,06511306
1,4;0,06629927
1,45;0,06741693
1,5;0,06848675
1,55;0,06948262
1,6;0,07044475
1,65;0,07134883
1,7;0,07219482
1,75;0,07299835
1,8;0,07376788
1,85;0,07449465
1,9;0,07518744
1,95;0,07585026
2;0,07648527
2,05;0,0771031
2,1;0,07767965
2,15;0,07824289
2,2;0,07879043
2,25;0,07931719
2,3;0,07981419
2,35;0,08030548
2,4;0,08077226
2,45;0,0812262
2,5;0,08167385
2,55;0,08210241
2,6;0,08251864
2,65;0,08292277
2,7;0,08331865
2,75;0,08369727
2,8;0,08406355
2,85;0,08442359
2,9;0,084764
2,95;0,08508746
3;0,08539814
3,05;0,08570209
3,1;0,08599562
3,15;0,08626557
3,2;0,08652727
3,25;0,08677567
3,3;0,08701399
3,35;0,08724869
3,4;0,08747674
3,45;0,08770309
3,5;0,08791612
3,55;0,08812038
3,6;0,08832578
3,65;0,08852776
3,7;0,08873359
3,75;0,0889392
3,8;0,08915444
3,85;0,08935481
3,9;0,08956981
3,95;0,08978888
4;0,09000315
4,05;0,09022067
4,1;0,09044429
4,15;0,09066163
4,2;0,09087024
4,25;0,09109402
4,3;0,09131582
4,35;0,09153217
4,4;0,09174789
4,45;0,09196683
4,5;0,09218569
4,55;0,09240796
4,6;0,0926236
4,65;0,09282789
4,7;0,09304719
4,75;0,09326138
4,8;0,09346707
4,85;0,09366538
4,9;0,09387855
4,95;0,09408194
5;0,09427794
