Tensao [V];Corrente [A]
-5;-0,0001388646
-4,95;-0,0001251778
-4,9;-0,0001192113
-4,85;-0,0001159081
-4,8;-0,0001132459
-4,75;-0,0001105128
-4,7;-0,0001086902
-4,65;-0,0001059068
-4,6;-0,0001036123
-4,55;-0,0001012664
-4,5;-0,0001005874
-4,45;-0,0001003815
-4,4;-0,0001003116
-4,35;-9,893646E-05
-4,3;-9,808213E-05
-4,25;-9,570324E-05
-4,2;-9,40547E-05
-4,15;-9,361588E-05
-4,1;-9,208141E-05
-4,05;-9,106894E-05
-4;-8,883211E-05
-3,95;-8,684044E-05
-3,9;-8,422247E-05
-3,85;-8,538434E-05
-3,8;-8,556088E-05
-3,75;-8,405823E-05
-3,7;-8,29282E-05
-3,65;-8,245134E-05
-3,6;-8,108105E-05
-3,55;-7,996943E-05
-3,5;-7,86249E-05
-3,45;-7,723128E-05
-3,4;-7,621154E-05
-3,35;-7,449559E-05
-3,3;-7,187879E-05
-3,25;-7,141801E-05
-3,2;-7,171701E-05
-3,15;-7,041547E-05
-3,1;-6,943978E-05
-3,05;-6,856832E-05
-3;-6,759762E-05
-2,95;-6,607173E-05
-2,9;-6,488646E-05
-2,85;-6,395501E-05
-2,8;-6,298918E-05
-2,75;-6,210789E-05
-2,7;-5,963575E-05
-2,65;-5,698467E-05
-2,6;-5,738298E-05
-2,55;-5,696993E-05
-2,5;-5,525035E-05
-2,45;-5,403453E-05
-2,4;-5,256492E-05
-2,35;-5,219232E-05
-2,3;-5,216904E-05
-2,25;-4,991506E-05
-2,2;-4,879607E-05
-2,15;-4,826291E-05
-2,1;-4,770031E-05
-2,05;-4,365444E-05
-2;-4,314942E-05
-1,95;-4,240793E-05
-1,9;-4,264691E-05
-1,85;-4,186616E-05
-1,8;-4,060376E-05
-1,75;-3,983769E-05
-1,7;-3,858875E-05
-1,65;-3,763274E-05
-1,6;-3,620117E-05
-1,55;-3,55148E-05
-1,5;-3,568152E-05
-1,45;-3,231583E-05
-1,4;-3,001038E-05
-1,35;-2,972847E-05
-1,3;-2,975667E-05
-1,25;-2,851631E-05
-1,2;-2,789736E-05
-1,15;-2,647435E-05
-1,1;-2,39826E-05
-1,05;-2,266133E-05
-1;-2,178131E-05
-0,95;-2,057651E-05
-0,9;-1,952E-05
-0,85;-1,794257E-05
-0,8;-1,428397E-05
-0,75;-1,210108E-05
-0,7;-9,916954E-06
-0,65;-7,753669E-06
-0,6;-3,086368E-06
-0,55;5,193069E-06
-0,5;1,895015E-05
-0,45;4,506827E-05
-0,4;9,275352E-05
-0,35;0,0001847926
-0,3;0,0003585481
-0,25;0,0006792802
-0,2;0,001258988
-0,15;0,002721966
-0,1;0,003895057
-0,05;0,006030343
0;0,009239224
0,05;0,01149557
0,1;0,01423341
0,15;0,01694468
0,2;0,01958582
0,25;0,02342936
0,3;0,02590649
0,35;0,02834826
0,4;0,03073182
0,45;0,03305096
0,5;0,03530914
0,55;0,0375133
0,6;0,03965597
0,65;0,04174752
0,7;0,04379228
0,75;0,04578952
0,8;0,04773712
0,85;0,04963444
0,9;0,05146691
0,95;0,05325271
1;0,05498754
1,05;0,05665762
1,1;0,05826644
1,15;0,05980615
1,2;0,06125779
1,25;0,06265122
1,3;0,06397175
1,35;0,0652247
1,4;0,06641341
1,45;0,06753191
1,5;0,06859584
1,55;0,06960475
1,6;0,07055394
1,65;0,07145414
1,7;0,07230568
1,75;0,07311191
1,8;0,07388645
1,85;0,07460568
1,9;0,07529886
1,95;0,07597043
2;0,07660661
2,05;0,07721794
2,1;0,07780089
2,15;0,07837016
2,2;0,07891097
2,25;0,07942594
2,3;0,07993494
2,35;0,08042594
2,4;0,08089813
2,45;0,08135299
2,5;0,08179746
2,55;0,08222785
2,6;0,08264664
2,65;0,08305398
2,7;0,08344208
2,75;0,08382694
2,8;0,08419604
2,85;0,08455201
2,9;0,08488704
2,95;0,08521776
3;0,08553718
3,05;0,08583262
3,1;0,08612526
3,15;0,0863925
3,2;0,0866663
3,25;0,0869162
3,3;0,08715238
3,35;0,08738013
3,4;0,08761086
3,45;0,08782325
3,5;0,08803623
3,55;0,08824619
3,6;0,08845278
3,65;0,08866767
3,7;0,08887223
3,75;0,08906992
3,8;0,08928419
3,85;0,08949953
3,9;0,08970375
3,95;0,08991929
4;0,09014238
4,05;0,09035766
4,1;0,0905677
4,15;0,09078201
4,2;0,09100874
4,25;0,09122496
4,3;0,09144163
4,35;0,09165719
4,4;0,09188273
4,45;0,09210104
4,5;0,09231849
4,55;0,09253179
4,6;0,09275082
4,65;0,0929688
4,7;0,09317594
4,75;0,09337955
4,8;0,09359002
4,85;0,09379843
4,9;0,09400441
4,95;0,0941999
5;0,094401
