Tensao [V];Corrente [A]
-5;-0,0001355457
-4,95;-0,0001215646
-4,9;-0,0001175787
-4,85;-0,000115951
-4,8;-0,0001130071
-4,75;-0,0001110545
-4,7;-0,000109433
-4,65;-0,0001078899
-4,6;-0,0001065478
-4,55;-0,0001040488
-4,5;-0,0001032164
-4,45;-0,0001016966
-4,4;-9,987166E-05
-4,35;-9,691906E-05
-4,3;-9,635773E-05
-4,25;-9,557449E-05
-4,2;-9,438803E-05
-4,15;-9,408656E-05
-4,1;-9,254218E-05
-4,05;-9,191718E-05
-4;-9,023792E-05
-3,95;-8,865932E-05
-3,9;-8,789321E-05
-3,85;-8,594209E-05
-3,8;-8,547144E-05
-3,75;-8,342942E-05
-3,7;-8,146227E-05
-3,65;-8,031014E-05
-3,6;-8,000992E-05
-3,55;-7,95E-05
-3,5;-7,85403E-05
-3,45;-7,877437E-05
-3,4;-7,660498E-05
-3,35;-7,499695E-05
-3,3;-7,361321E-05
-3,25;-7,27319E-05
-3,2;-7,219508E-05
-3,15;-7,056009E-05
-3,1;-6,788321E-05
-3,05;-6,650799E-05
-3;-6,721399E-05
-2,95;-6,570885E-05
-2,9;-6,50409E-05
-2,85;-6,526397E-05
-2,8;-6,348185E-05
-2,75;-6,103302E-05
-2,7;-6,042997E-05
-2,65;-5,909648E-05
-2,6;-5,741118E-05
-2,55;-5,660102E-05
-2,5;-5,64711E-05
-2,45;-5,324638E-05
-2,4;-5,131846E-05
-2,35;-5,151337E-05
-2,3;-5,156851E-05
-2,25;-5,035385E-05
-2,2;-4,978269E-05
-2,15;-4,784742E-05
-2,1;-4,785967E-05
-2,05;-4,716593E-05
-2;-4,64771E-05
-1,95;-4,474281E-05
-1,9;-4,348279E-05
-1,85;-4,242261E-05
-1,8;-4,03059E-05
-1,75;-3,887192E-05
-1,7;-3,89528E-05
-1,65;-3,85851E-05
-1,6;-3,849316E-05
-1,55;-3,642547E-05
-1,5;-3,511648E-05
-1,45;-3,467523E-05
-1,4;-3,271421E-05
-1,35;-3,154737E-05
-1,3;-3,036458E-05
-1,25;-3,048104E-05
-1,2;-2,855554E-05
-1,15;-2,647191E-05
-1,1;-2,492758E-05
-1,05;-2,424245E-05
-1;-2,317611E-05
-0,95;-2,093561E-05
-0,9;-1,990974E-05
-0,85;-1,867305E-05
-0,8;-1,732115E-05
-0,75;-1,451809E-05
-0,7;-1,208269E-05
-0,65;-8,706004E-06
-0,6;-3,346205E-06
-0,55;5,913766E-06
-0,5;2,123973E-05
-0,45;4,339153E-05
-0,4;9,102159E-05
-0,35;0,0001826134
-0,3;0,000356598
-0,25;0,0006763983
-0,2;0,001253032
-0,15;0,002694186
-0,1;0,003880031
-0,05;0,005992405
0;0,009206402
0,05;0,01146973
0,1;0,01419672
0,15;0,0169075
0,2;0,01954619
0,25;0,02338009
0,3;0,02585205
0,35;0,02829219
0,4;0,03067378
0,45;0,0329836
0,5;0,03523353
0,55;0,03743493
0,6;0,03957913
0,65;0,04166553
0,7;0,04370526
0,75;0,0457033
0,8;0,04764811
0,85;0,04952721
0,9;0,05136061
0,95;0,05314708
1;0,05487809
1,05;0,0565512
1,1;0,05814334
1,15;0,05968653
1,2;0,06114873
1,25;0,06252962
1,3;0,06384299
1,35;0,06509477
1,4;0,06627614
1,45;0,06739499
1,5;0,06845114
1,55;0,06945947
1,6;0,07042456
1,65;0,07131498
1,7;0,07216963
1,75;0,07297869
1,8;0,07374558
1,85;0,07447716
1,9;0,07516701
1,95;0,07583463
2;0,07646682
2,05;0,07707942
2,1;0,07766008
2,15;0,07821902
2,2;0,07876292
2,25;0,07928677
2,3;0,07979086
2,35;0,08028157
2,4;0,08075604
2,45;0,08120551
2,5;0,08163956
2,55;0,08207725
2,6;0,08249844
2,65;0,082905
2,7;0,0832859
2,75;0,08367214
2,8;0,08404141
2,85;0,08439375
2,9;0,08473177
2,95;0,08505882
3;0,08537763
3,05;0,08568088
3,1;0,08595956
3,15;0,08623149
3,2;0,08649959
3,25;0,08675349
3,3;0,08699102
3,35;0,08722359
3,4;0,08744937
3,45;0,08767056
3,5;0,08788098
3,55;0,08808707
3,6;0,08829765
3,65;0,08851074
3,7;0,08870973
3,75;0,0889134
3,8;0,08913084
3,85;0,08933945
3,9;0,08954233
3,95;0,08975803
4;0,08997751
4,05;0,09019767
4,1;0,09040626
4,15;0,09062565
4,2;0,0908487
4,25;0,09107451
4,3;0,09128139
4,35;0,09149784
4,4;0,09172208
4,45;0,09194486
4,5;0,0921648
4,55;0,0923763
4,6;0,09258637
4,65;0,09281048
4,7;0,0930204
4,75;0,09322913
4,8;0,09344404
4,85;0,09365507
4,9;0,09385717
4,95;0,09405023
5;0,09425352
