Tensao [V];Corrente [A]
-5;-7,584907E-05
-4,95;-6,6356E-05
-4,9;-6,120435E-05
-4,85;-5,77038E-05
-4,8;-5,513226E-05
-4,75;-5,320176E-05
-4,7;-5,196627E-05
-4,65;-5,006641E-05
-4,6;-4,827444E-05
-4,55;-4,671046E-05
-4,5;-4,552151E-05
-4,45;-4,444412E-05
-4,4;-4,345497E-05
-4,35;-4,083807E-05
-4,3;-3,924102E-05
-4,25;-3,895785E-05
-4,2;-3,812806E-05
-4,15;-3,746985E-05
-4,1;-3,695385E-05
-4,05;-3,62319E-05
-4;-3,446688E-05
-3,95;-3,329633E-05
-3,9;-3,228022E-05
-3,85;-3,214172E-05
-3,8;-3,082165E-05
-3,75;-2,827586E-05
-3,7;-2,694229E-05
-3,65;-2,548373E-05
-3,6;-2,60794E-05
-3,55;-2,592498E-05
-3,5;-2,550211E-05
-3,45;-2,466005E-05
-3,4;-2,343925E-05
-3,35;-2,177842E-05
-3,3;-2,052577E-05
-3,25;-1,99742E-05
-3,2;-1,920569E-05
-3,15;-1,865166E-05
-3,1;-1,723721E-05
-3,05;-1,560579E-05
-3;-1,527241E-05
-2,95;-1,516331E-05
-2,9;-1,530181E-05
-2,85;-1,496352E-05
-2,8;-1,39131E-05
-2,75;-1,314949E-05
-2,7;-1,186005E-05
-2,65;-1,153034E-05
-2,6;-1,07275E-05
-2,55;-9,961434E-06
-2,5;-8,652389E-06
-2,45;-6,61282E-06
-2,4;-5,195909E-06
-2,35;-4,929933E-06
-2,3;-4,944644E-06
-2,25;-4,684792E-06
-2,2;-4,389395E-06
-2,15;-3,636817E-06
-2,1;-2,422146E-06
-2,05;-1,649954E-06
-2;-8,495703E-07
-1,95;6,261875E-07
-1,9;1,644768E-06
-1,85;2,937911E-06
-1,8;4,308276E-06
-1,75;5,162609E-06
-1,7;4,673545E-06
-1,65;4,394078E-06
-1,6;4,720117E-06
-1,55;5,276599E-06
-1,5;5,893145E-06
-1,45;6,887208E-06
-1,4;7,739088E-06
-1,35;9,039587E-06
-1,3;1,00263E-05
-1,25;1,042834E-05
-1,2;1,150085E-05
-1,15;1,317887E-05
-1,1;1,368879E-05
-1,05;1,366794E-05
-1;1,363485E-05
-0,95;1,426242E-05
-0,9;1,477478E-05
-0,85;1,536434E-05
-0,8;1,573208E-05
-0,75;1,637312E-05
-0,7;1,782806E-05
-0,65;1,903786E-05
-0,6;2,033469E-05
-0,55;2,187663E-05
-0,5;2,338306E-05
-0,45;2,314773E-05
-0,4;2,319062E-05
-0,35;2,32519E-05
-0,3;2,358653E-05
-0,25;2,446782E-05
-0,2;2,507946E-05
-0,15;2,591909E-05
-0,1;2,696095E-05
-0,05;2,763635E-05
0;2,790968E-05
0,05;2,76437E-05
0,1;2,862428E-05
0,15;2,796361E-05
0,2;2,648662E-05
0,25;2,55857E-05
0,3;2,55293E-05
0,35;2,580389E-05
0,4;2,626476E-05
0,45;2,656506E-05
0,5;2,662143E-05
0,55;2,683227E-05
0,6;2,730787E-05
0,65;2,728457E-05
0,7;2,892704E-05
0,75;3,036113E-05
0,8;3,020669E-05
0,85;2,966614E-05
0,9;2,690336E-05
0,95;2,791947E-05
1;3,010863E-05
1,05;3,120323E-05
1,1;3,218378E-05
1,15;3,292536E-05
1,2;3,414986E-05
1,25;3,464506E-05
1,3;3,515251E-05
1,35;3,603013E-05
1,4;3,732572E-05
1,45;3,801827E-05
1,5;3,815188E-05
1,55;3,877576E-05
1,6;3,975021E-05
1,65;4,029077E-05
1,7;4,089257E-05
1,75;4,158635E-05
1,8;4,250811E-05
1,85;4,315771E-05
1,9;4,361738E-05
1,95;4,505883E-05
2;4,678954E-05
2,05;4,698937E-05
2,1;4,666333E-05
2,15;4,686558E-05
2,2;4,710212E-05
2,25;4,766846E-05
2,3;4,810232E-05
2,35;4,893092E-05
2,4;4,960995E-05
2,45;5,059545E-05
2,5;5,106858E-05
2,55;5,193642E-05
2,6;5,405451E-05
2,65;5,583914E-05
2,7;5,548731E-05
2,75;5,559887E-05
2,8;5,594455E-05
2,85;5,646549E-05
2,9;5,723769E-05
2,95;5,775495E-05
3;5,83727E-05
3,05;5,919392E-05
3,1;5,978597E-05
3,15;6,044054E-05
3,2;6,138064E-05
3,25;6,308933E-05
3,3;6,354164E-05
3,35;6,283928E-05
3,4;6,293607E-05
3,45;6,350856E-05
3,5;6,397426E-05
3,55;6,440207E-05
3,6;6,514489E-05
3,65;6,602618E-05
3,7;6,694544E-05
3,75;6,765276E-05
3,8;6,778018E-05
3,85;6,927804E-05
3,9;7,080644E-05
3,95;7,089469E-05
4;7,119139E-05
4,05;7,181154E-05
4,1;7,287061E-05
4,15;7,324569E-05
4,2;7,382422E-05
4,25;7,428264E-05
4,3;7,522648E-05
4,35;7,602566E-05
4,4;7,696213E-05
4,45;7,775765E-05
4,5;7,91905E-05
4,55;8,010857E-05
4,6;7,979724E-05
4,65;7,992718E-05
4,7;8,031328E-05
4,75;8,064053E-05
4,8;8,160515E-05
4,85;8,249627E-05
4,9;8,341431E-05
4,95;8,430916E-05
5;8,49955E-05
