Tensao [V];Corrente [A]
-5;-7,216525E-05
-4,95;-6,26966E-05
-4,9;-5,706081E-05
-4,85;-5,358098E-05
-4,8;-5,105599E-05
-4,75;-4,874185E-05
-4,7;-4,617522E-05
-4,65;-4,461978E-05
-4,6;-4,352035E-05
-4,55;-4,182643E-05
-4,5;-4,068402E-05
-4,45;-4,021702E-05
-4,4;-3,91568E-05
-4,35;-3,82326E-05
-4,3;-3,713683E-05
-4,25;-3,620772E-05
-4,2;-3,386784E-05
-4,15;-3,312015E-05
-4,1;-3,154265E-05
-4,05;-3,040642E-05
-4;-2,964279E-05
-3,95;-2,893554E-05
-3,9;-2,850166E-05
-3,85;-2,785692E-05
-3,8;-2,675014E-05
-3,75;-2,493607E-05
-3,7;-2,403026E-05
-3,65;-2,35179E-05
-3,6;-2,292222E-05
-3,55;-2,128099E-05
-3,5;-2,055046E-05
-3,45;-1,94559E-05
-3,4;-1,835277E-05
-3,35;-1,699834E-05
-3,3;-1,754745E-05
-3,25;-1,767248E-05
-3,2;-1,680469E-05
-3,15;-1,592952E-05
-3,1;-1,522352E-05
-3,05;-1,469155E-05
-3;-1,25343E-05
-2,95;-1,018584E-05
-2,9;1,438859E-06
-2,85;-4,342862E-06
-2,8;-7,494167E-06
-2,75;-5,146928E-06
-2,7;-6,422897E-06
-2,65;-7,750348E-06
-2,6;-2,550869E-06
-2,55;1,273174E-07
-2,5;1,231709E-06
-2,45;1,05888E-06
-2,4;1,714651E-06
-2,35;1,360411E-06
-2,3;5,992273E-07
-2,25;1,384926E-06
-2,2;5,438446E-06
-2,15;7,546718E-06
-2,1;7,217001E-06
-2,05;5,721599E-06
-2;4,840287E-06
-1,95;4,892996E-06
-1,9;5,226397E-06
-1,85;4,937122E-06
-1,8;5,534052E-06
-1,75;7,232931E-06
-1,7;1,269974E-05
-1,65;2,16366E-05
-1,6;2,521944E-05
-1,55;2,440186E-05
-1,5;2,186826E-05
-1,45;1,979921E-05
-1,4;1,752058E-05
-1,35;1,604354E-05
-1,3;1,508869E-05
-1,25;1,524315E-05
-1,2;1,561332E-05
-1,15;1,589645E-05
-1,1;1,62654E-05
-1,05;1,659514E-05
-1;1,713569E-05
-0,95;1,686236E-05
-0,9;1,766396E-05
-0,85;1,824007E-05
-0,8;2,035079E-05
-0,75;2,029195E-05
-0,7;2,014121E-05
-0,65;2,098205E-05
-0,6;2,115613E-05
-0,55;2,168073E-05
-0,5;2,211709E-05
-0,45;2,273241E-05
-0,4;2,308909E-05
-0,35;2,340534E-05
-0,3;2,477205E-05
-0,25;2,604311E-05
-0,2;2,57747E-05
-0,15;2,558594E-05
-0,1;2,576001E-05
-0,05;2,6151E-05
0;2,637287E-05
0,05;2,690605E-05
0,1;2,577227E-05
0,15;2,523292E-05
0,2;2,511036E-05
0,25;2,470584E-05
0,3;2,490688E-05
0,35;2,591566E-05
0,4;2,659596E-05
0,45;2,526847E-05
0,5;2,478309E-05
0,55;2,46274E-05
0,6;2,466173E-05
0,65;2,49608E-05
0,7;2,53506E-05
0,75;2,609708E-05
0,8;2,653587E-05
0,85;2,739146E-05
0,9;2,773222E-05
0,95;3,029522E-05
1;3,1027E-05
1,05;3,109685E-05
1,1;3,053548E-05
1,15;3,046926E-05
1,2;3,116674E-05
1,25;3,148176E-05
1,3;3,234343E-05
1,35;3,29367E-05
1,4;3,381558E-05
1,45;3,452526E-05
1,5;3,520063E-05
1,55;3,576938E-05
1,6;3,807006E-05
1,65;3,862291E-05
1,7;3,84182E-05
1,75;3,805538E-05
1,8;3,84562E-05
1,85;3,850768E-05
1,9;3,908869E-05
1,95;3,963169E-05
2;4,041371E-05
2,05;4,091503E-05
2,1;4,157082E-05
2,15;4,251339E-05
2,2;4,397203E-05
2,25;4,519532E-05
2,3;4,611826E-05
2,35;4,647743E-05
2,4;4,627888E-05
2,45;4,583883E-05
2,5;4,663189E-05
2,55;4,713076E-05
2,6;4,763821E-05
2,65;4,821187E-05
2,7;4,891051E-05
2,75;4,974404E-05
2,8;5,042069E-05
2,85;5,168682E-05
2,9;5,278265E-05
2,95;5,222614E-05
3;5,252404E-05
3,05;5,291872E-05
3,1;5,357569E-05
3,15;5,434178E-05
3,2;5,470458E-05
3,25;5,579429E-05
3,3;5,667196E-05
3,35;5,715606E-05
3,4;5,738038E-05
3,45;5,855464E-05
3,5;6,032949E-05
3,55;6,13089E-05
3,6;6,102696E-05
3,65;6,129298E-05
3,7;6,150137E-05
3,75;6,243414E-05
3,8;6,271116E-05
3,85;6,3427E-05
3,9;6,407661E-05
3,95;6,432789E-05
4;6,486111E-05
4,05;6,572034E-05
4,1;6,715813E-05
4,15;6,851501E-05
4,2;6,891704E-05
4,25;6,911197E-05
4,3;6,902369E-05
4,35;6,939994E-05
4,4;6,959001E-05
4,45;7,003005E-05
4,5;7,124231E-05
4,55;7,164066E-05
4,6;7,246191E-05
4,65;7,330769E-05
4,7;7,445253E-05
4,75;7,597608E-05
4,8;7,722514E-05
4,85;7,713809E-05
4,9;7,711111E-05
4,95;7,67361E-05
5;7,7295E-05
