Tensao [V];Corrente [A]
-5;-0.0001448709
-4.95;-0.0001325996
-4.9;-0.0001306283
-4.85;-0.0001286843
-4.8;-0.0001281756
-4.75;-0.000125985
-4.7;-0.0001264693
-4.65;-0.0001259422
-4.6;-0.0001246833
-4.55;-0.0001226902
-4.5;-0.0001230395
-4.45;-0.0001220637
-4.4;-0.0001208772
-4.35;-0.0001200768
-4.3;-0.0001219007
-4.25;-0.0001259139
-4.2;-0.0001198218
-4.15;-0.0001157117
-4.1;-0.0001129058
-4.05;-0.0001108834
-4;-0.0001089355
-3.95;-0.0001086534
-3.9;-0.0001081621
-3.85;-0.0001076521
-3.8;-0.0001061296
-3.75;-0.0001042579
-3.7;-0.0001035996
-3.65;-0.0001027305
-3.6;-0.0001018431
-3.55;-0.0001000093
-3.5;-9.866576E-05
-3.45;-9.793764E-05
-3.4;-9.736273E-05
-3.35;-9.530831E-05
-3.3;-9.391207E-05
-3.25;-9.27108E-05
-3.2;-9.193855E-05
-3.15;-9.016607E-05
-3.1;-8.782599E-05
-3.05;-8.709548E-05
-3;-8.690297E-05
-2.95;-8.587088E-05
-2.9;-8.503123E-05
-2.85;-8.364362E-05
-2.8;-8.288233E-05
-2.75;-8.176324E-05
-2.7;-8.064408E-05
-2.65;-7.903333E-05
-2.6;-7.781003E-05
-2.55;-7.668354E-05
-2.5;-7.604979E-05
-2.45;-7.52151E-05
-2.4;-7.369746E-05
-2.35;-7.231845E-05
-2.3;-7.099951E-05
-2.25;-7.038906E-05
-2.2;-6.928579E-05
-2.15;-6.754763E-05
-2.1;-6.640031E-05
-2.05;-6.541968E-05
-2;-6.485584E-05
-1.95;-6.345346E-05
-1.9;-6.15143E-05
-1.85;-6.095168E-05
-1.8;-6.016715E-05
-1.75;-5.869376E-05
-1.7;-5.731475E-05
-1.65;-5.678153E-05
-1.6;-5.55263E-05
-1.55;-5.438135E-05
-1.5;-5.295823E-05
-1.45;-5.169686E-05
-1.4;-5.106928E-05
-1.35;-5.0058E-05
-1.3;-4.876355E-05
-1.25;-4.735388E-05
-1.2;-4.653876E-05
-1.15;-4.542201E-05
-1.1;-4.361154E-05
-1.05;-4.247156E-05
-1;-4.139038E-05
-0.95;-4.053234E-05
-0.9;-3.946832E-05
-0.85;-3.807338E-05
-0.8;-3.657913E-05
-0.75;-3.419006E-05
-0.7;-3.170904E-05
-0.65;-2.78576E-05
-0.6;-2.294706E-05
-0.55;-1.495731E-05
-0.5;-1.223504E-06
-0.45;2.433486E-05
-0.4;7.14727E-05
-0.35;0.0001592195
-0.3;0.0003202337
-0.25;0.0006086084
-0.2;0.001122218
-0.15;0.00202402
-0.1;0.00425707
-0.05;0.005856847
0;0.009242545
0.05;0.01172663
0.1;0.01474593
0.15;0.01774374
0.2;0.02064157
0.25;0.02482755
0.3;0.02749428
0.35;0.03012093
0.4;0.03266705
0.45;0.03511424
0.5;0.03745857
0.55;0.0396962
0.6;0.041833
0.65;0.04388789
0.7;0.0458589
0.75;0.04776131
0.8;0.04959993
0.85;0.05136977
0.9;0.05308043
0.95;0.05472362
1;0.05632246
1.05;0.05785198
1.1;0.059316
1.15;0.06074278
1.2;0.06209551
1.25;0.06338328
1.3;0.06462323
1.35;0.06579285
1.4;0.06690232
1.45;0.06794946
1.5;0.06893452
1.55;0.06986354
1.6;0.07074589
1.65;0.07157241
1.7;0.07236338
1.75;0.07310635
1.8;0.07380693
1.85;0.07448448
1.9;0.07512164
1.95;0.07573766
2;0.07632033
2.05;0.07689219
2.1;0.0774523
2.15;0.07798648
2.2;0.0784934
2.25;0.07899584
2.3;0.07947794
2.35;0.07994285
2.4;0.08039954
2.45;0.08084054
2.5;0.08126769
2.55;0.08167567
2.6;0.08208583
2.65;0.08248256
2.7;0.08285224
2.75;0.08322399
2.8;0.08358109
2.85;0.08392852
2.9;0.08426779
2.95;0.0845906
3;0.08489733
3.05;0.08519135
3.1;0.08547525
3.15;0.08575321
3.2;0.08601042
3.25;0.08625346
3.3;0.08649555
3.35;0.0867297
3.4;0.08695235
3.45;0.08715839
3.5;0.0873734
3.55;0.08757159
3.6;0.0877756
3.65;0.08797836
3.7;0.08818706
3.75;0.08838029
3.8;0.0885882
3.85;0.08878354
3.9;0.08898554
3.95;0.08918596
4;0.08938755
4.05;0.08958812
4.1;0.08978899
4.15;0.08998805
4.2;0.09018036
4.25;0.09037891
4.3;0.09056949
4.35;0.09076184
4.4;0.09095526
4.45;0.09114732
4.5;0.09134344
4.55;0.09153069
4.6;0.09171012
4.65;0.09189372
4.7;0.0920753
4.75;0.09224751
4.8;0.09242529
4.85;0.09259957
4.9;0.09277156
4.95;0.09292856
5;0.09309898
