Tensao [V];Corrente [A]
-5;-0,0003050658
-4,95;-0,0002878234
-4,9;-0,000281299
-4,85;-0,0002774599
-4,8;-0,0002745795
-4,75;-0,0002711978
-4,7;-0,0002683038
-4,65;-0,0002659224
-4,6;-0,0002650535
-4,55;-0,0002666257
-4,5;-0,0002622267
-4,45;-0,0002572209
-4,4;-0,0002551789
-4,35;-0,0002549692
-4,3;-0,0002556422
-4,25;-0,0002545821
-4,2;-0,0002532974
-4,15;-0,0002522307
-4,1;-0,0002513166
-4,05;-0,0002517039
-4;-0,0002494575
-3,95;-0,0002476343
-3,9;-0,0002465914
-3,85;-0,0002458916
-3,8;-0,0002420416
-3,75;-0,0002390703
-3,7;-0,000234512
-3,65;-0,0002352926
-3,6;-0,0002354937
-3,55;-0,0002356888
-3,5;-0,0002380836
-3,45;-0,0002361864
-3,4;-0,000234414
-3,35;-0,000234393
-3,3;-0,0002350035
-3,25;-0,0002337167
-3,2;-0,0002313718
-3,15;-0,0002299046
-3,1;-0,0002286053
-3,05;-0,0002279544
-3;-0,0002262972
-2,95;-0,0002244083
-2,9;-0,0002237195
-2,85;-0,0002223885
-2,8;-0,000218905
-2,75;-0,0002164768
-2,7;-0,0002138832
-2,65;-0,0002112356
-2,6;-0,0002088958
-2,55;-0,0002059821
-2,5;-0,0002020734
-2,45;-0,0001996147
-2,4;-0,00019537
-2,35;-0,0001899301
-2,3;-0,000182865
-2,25;-0,0001773972
-2,2;-0,0001730583
-2,15;-0,0001663877
-2,1;-0,0001601723
-2,05;-0,0001525642
-2;-0,0001433872
-1,95;-0,0001317452
-1,9;-0,0001194404
-1,85;-0,0001045344
-1,8;-8,882313E-05
-1,75;-6,998387E-05
-1,7;-4,925075E-05
-1,65;-2,61999E-05
-1,6;6,310987E-07
-1,55;3,228597E-05
-1,5;6,927409E-05
-1,45;0,0001135725
-1,4;0,0001692238
-1,35;0,0002408443
-1,3;0,000334653
-1,25;0,0004584987
-1,2;0,0006207564
-1,15;0,00083221
-1,1;0,001101067
-1,05;0,001439113
-1;0,001857792
-0,95;0,002536893
-0,9;0,002989638
-0,85;0,003687406
-0,8;0,00451032
-0,75;0,005449348
-0,7;0,006510422
-0,65;0,007703359
-0,6;0,009044579
-0,55;0,01055979
-0,5;0,01228329
-0,45;0,01424242
-0,4;0,0164432
-0,35;0,01887986
-0,3;0,0229026
-0,25;0,02589336
-0,2;0,0291034
-0,15;0,03258938
-0,1;0,03635044
-0,05;0,04037774
0;0,04467075
0,05;0,04912704
0,1;0,05375534
0,15;0,05848661
0,2;0,0632628
0,25;0,0680679
0,3;0,07290487
0,35;0,07778216
0,4;0,08269867
0,45;0,08765462
0,5;0,09265955
0,55;0,09771011
0,6;0,1028088
0,65;0,1079482
0,7;0,113116
0,75;0,1183033
0,8;0,1234944
0,85;0,1286895
0,9;0,1338553
0,95;0,1389836
1;0,1440361
1,05;0,1490392
1,1;0,1539299
1,15;0,1587419
1,2;0,1634417
1,25;0,1680405
1,3;0,1725377
1,35;0,176919
1,4;0,1811894
1,45;0,1853494
1,5;0,189419
1,55;0,1933814
1,6;0,1972559
1,65;0,2010575
1,7;0,2047844
1,75;0,2084472
1,8;0,2120581
1,85;0,2157348
1,9;0,2192056
1,95;0,2226706
2;0,2260926
2,05;0,2294773
2,1;0,2328188
2,15;0,2361204
2,2;0,2393919
2,25;0,2426087
2,3;0,2457867
2,35;0,2489239
2,4;0,2520147
2,45;0,2550735
2,5;0,2580753
2,55;0,2610494
2,6;0,2639693
2,65;0,2668539
2,7;0,269682
2,75;0,2724695
2,8;0,2752061
2,85;0,2778913
2,9;0,2805327
2,95;0,2831022
3;0,2856382
3,05;0,2881204
3,1;0,2905662
3,15;0,2929629
3,2;0,2953224
3,25;0,2976409
3,3;0,2999311
3,35;0,3021929
3,4;0,3044261
3,45;0,3066429
3,5;0,3088385
3,55;0,311005
3,6;0,3131619
3,65;0,3153043
3,7;0,3174239
3,75;0,319528
3,8;0,3216046
3,85;0,3236756
3,9;0,3257258
3,95;0,3277582
4;0,3297536
4,05;0,3317438
4,1;0,3337088
4,15;0,3356479
4,2;0,3375648
4,25;0,3394672
4,3;0,3413407
4,35;0,3431933
4,4;0,3450169
4,45;0,3468142
4,5;0,348597
4,55;0,3503607
4,6;0,3520925
4,65;0,3537876
4,7;0,3554241
4,75;0,3571351
4,8;0,3587629
4,85;0,3603734
4,9;0,361955
4,95;0,3635132
5;0,3650421
