Tensao [V];Corrente [A]
-5;-0.0003057829
-4.95;-0.0002893853
-4.9;-0.0002826328
-4.85;-0.0002801739
-4.8;-0.0002767617
-4.75;-0.0002745762
-4.7;-0.0002733431
-4.65;-0.0002689784
-4.6;-0.0002668848
-4.55;-0.0002652631
-4.5;-0.0002642654
-4.45;-0.0002636513
-4.4;-0.0002620431
-4.35;-0.0002609631
-4.3;-0.0002598712
-4.25;-0.0002585915
-4.2;-0.0002568999
-4.15;-0.0002549094
-4.1;-0.0002538809
-4.05;-0.0002532288
-4;-0.0002516675
-3.95;-0.0002501364
-3.9;-0.0002493495
-3.85;-0.0002488286
-3.8;-0.0002479646
-3.75;-0.0002461932
-3.7;-0.0002455021
-3.65;-0.0002451502
-3.6;-0.0002437885
-3.55;-0.0002422772
-3.5;-0.0002409337
-3.45;-0.0002400108
-3.4;-0.0002388906
-3.35;-0.0002377187
-3.3;-0.0002363423
-3.25;-0.0002359599
-3.2;-0.0002347733
-3.15;-0.0002332363
-3.1;-0.0002319249
-3.05;-0.0002302518
-3;-0.0002289389
-2.95;-0.0002265438
-2.9;-0.0002249163
-2.85;-0.0002233778
-2.8;-0.0002212966
-2.75;-0.0002185118
-2.7;-0.0002167012
-2.65;-0.0002144717
-2.6;-0.0002118364
-2.55;-0.000208695
-2.5;-0.0002053917
-2.45;-0.0002019411
-2.4;-0.0001982445
-2.35;-0.0001942155
-2.3;-0.0001895627
-2.25;-0.0001841842
-2.2;-0.0001786452
-2.15;-0.0001712013
-2.1;-0.0001640076
-2.05;-0.0001556335
-2;-0.0001458376
-1.95;-0.0001347779
-1.9;-0.0001215769
-1.85;-0.0001065103
-1.8;-9.078682E-05
-1.75;-7.226006E-05
-1.7;-5.17856E-05
-1.65;-2.835475E-05
-1.6;-1.784808E-06
-1.55;2.973034E-05
-1.5;6.928271E-05
-1.45;0.0001142787
-1.4;0.0001690707
-1.35;0.0002416926
-1.3;0.0003372382
-1.25;0.0004614014
-1.2;0.0006250537
-1.15;0.0008362064
-1.1;0.001105671
-1.05;0.001446035
-1;0.001867232
-0.95;0.002542053
-0.9;0.003005717
-0.85;0.003709432
-0.8;0.004536658
-0.75;0.005478422
-0.7;0.006543051
-0.65;0.007742577
-0.6;0.009091963
-0.55;0.01061625
-0.5;0.01234883
-0.45;0.01432105
-0.4;0.01653594
-0.35;0.01898824
-0.3;0.02303265
-0.25;0.02603896
-0.2;0.02927462
-0.15;0.03276872
-0.1;0.03655138
-0.05;0.04060463
0;0.0449162
0.05;0.04940023
0.1;0.05405348
0.15;0.05880306
0.2;0.0636052
0.25;0.06843877
0.3;0.07329906
0.35;0.07819692
0.4;0.08313645
0.45;0.08813105
0.5;0.09316351
0.55;0.09823414
0.6;0.1033557
0.65;0.1085251
0.7;0.1137177
0.75;0.1189276
0.8;0.124145
0.85;0.1293636
0.9;0.1345573
0.95;0.1396995
1;0.1447868
1.05;0.1497955
1.1;0.1547218
1.15;0.1595445
1.2;0.1642601
1.25;0.168885
1.3;0.173403
1.35;0.1778007
1.4;0.182087
1.45;0.1862643
1.5;0.1903622
1.55;0.1943348
1.6;0.1982242
1.65;0.2020282
1.7;0.2057853
1.75;0.2094556
1.8;0.2130535
1.85;0.2166477
1.9;0.2201683
1.95;0.2236356
2;0.227073
2.05;0.2304696
2.1;0.2338194
2.15;0.2371188
2.2;0.240393
2.25;0.2436347
2.3;0.2468271
2.35;0.2499608
2.4;0.2530558
2.45;0.2561255
2.5;0.2591522
2.55;0.2621163
2.6;0.2650452
2.65;0.2679357
2.7;0.2707782
2.75;0.2735638
2.8;0.2762954
2.85;0.2790016
2.9;0.281641
2.95;0.2842176
3;0.2867474
3.05;0.2892514
3.1;0.2916978
3.15;0.2940998
3.2;0.2964493
3.25;0.2987723
3.3;0.301078
3.35;0.3033374
3.4;0.3055618
3.45;0.3077829
3.5;0.3099951
3.55;0.3121583
3.6;0.314313
3.65;0.3164441
3.7;0.318567
3.75;0.3206764
3.8;0.3227588
3.85;0.3248292
3.9;0.3268807
3.95;0.3289069
4;0.3309171
4.05;0.3328894
4.1;0.3348663
4.15;0.3368078
4.2;0.3387269
4.25;0.3406172
4.3;0.3425037
4.35;0.3443556
4.4;0.3461781
4.45;0.3479748
4.5;0.3497602
4.55;0.351516
4.6;0.3532444
4.65;0.354951
4.7;0.3566279
4.75;0.3582914
4.8;0.359923
4.85;0.3615267
4.9;0.363102
4.95;0.3646714
5;0.3661956
