Tensao [V];Corrente [A]
-5;-0.0005279691
-4.95;-0.0005116045
-4.9;-0.0005052279
-4.85;-0.0005021364
-4.8;-0.0005007171
-4.75;-0.0004976136
-4.7;-0.0004960926
-4.65;-0.0004941855
-4.6;-0.0004927431
-4.55;-0.0004912352
-4.5;-0.0004896186
-4.45;-0.0004890105
-4.4;-0.0004878903
-4.35;-0.0004858656
-4.3;-0.0004838149
-4.25;-0.0004826149
-4.2;-0.0004810593
-4.15;-0.0004801194
-4.1;-0.0004789955
-4.05;-0.0004778066
-4;-0.0004762452
-3.95;-0.0004754373
-3.9;-0.000474181
-3.85;-0.0004722138
-3.8;-0.0004713119
-3.75;-0.0004697404
-3.7;-0.0004681115
-3.65;-0.0004682289
-3.6;-0.0004663869
-3.55;-0.0004653865
-3.5;-0.0004639932
-3.45;-0.0004624966
-3.4;-0.0004606014
-3.35;-0.0004583228
-3.3;-0.0004569256
-3.25;-0.0004556178
-3.2;-0.0004545921
-3.15;-0.0004528488
-3.1;-0.0004509824
-3.05;-0.0004495621
-3;-0.0004472063
-2.95;-0.0004445546
-2.9;-0.0004412214
-2.85;-0.0004390997
-2.8;-0.0004361811
-2.75;-0.0004324696
-2.7;-0.0004295295
-2.65;-0.000424977
-2.6;-0.0004199677
-2.55;-0.0004147452
-2.5;-0.0004093348
-2.45;-0.0004038574
-2.4;-0.0003974651
-2.35;-0.0003891736
-2.3;-0.0003818403
-2.25;-0.0003742079
-2.2;-0.0003643254
-2.15;-0.0003530942
-2.1;-0.0003400605
-2.05;-0.0003255127
-2;-0.0003077267
-1.95;-0.0002870987
-1.9;-0.0002622159
-1.85;-0.0002339748
-1.8;-0.0002024234
-1.75;-0.0001658219
-1.7;-0.0001231926
-1.65;-7.42976E-05
-1.6;-2.03208E-05
-1.55;4.09607E-05
-1.5;0.000115799
-1.45;0.0002068891
-1.4;0.0003215483
-1.35;0.0004696952
-1.3;0.0006628083
-1.25;0.0009159761
-1.2;0.001247599
-1.15;0.001679374
-1.1;0.002402026
-1.05;0.002946045
-1;0.0037995
-0.95;0.004858065
-0.9;0.006125793
-0.85;0.007615166
-0.8;0.009336062
-0.75;0.01130102
-0.7;0.01352659
-0.65;0.01603513
-0.6;0.01886286
-0.55;0.02371266
-0.5;0.02758773
-0.45;0.03198709
-0.4;0.03687514
-0.35;0.04224401
-0.3;0.04805671
-0.25;0.05430441
-0.2;0.06099971
-0.15;0.06822157
-0.1;0.07597601
-0.05;0.08422712
0;0.09298632
0.05;0.1020494
0.1;0.1114692
0.15;0.121131
0.2;0.1309697
0.25;0.1409561
0.3;0.1510303
0.35;0.1612127
0.4;0.1715447
0.45;0.1819764
0.5;0.1925293
0.55;0.2031707
0.6;0.2138761
0.65;0.2247317
0.7;0.2356328
0.75;0.2465739
0.8;0.2575326
0.85;0.2684901
0.9;0.2793883
0.95;0.2902088
1;0.3009072
1.05;0.3114433
1.1;0.3217904
1.15;0.3319472
1.2;0.3418982
1.25;0.3516205
1.3;0.3611337
1.35;0.3704236
1.4;0.3794726
1.45;0.3882916
1.5;0.396896
1.55;0.4052934
1.6;0.4134919
1.65;0.421494
1.7;0.4293467
1.75;0.4370593
1.8;0.4446478
1.85;0.4521129
1.9;0.4594814
1.95;0.4667633
2;0.4739601
2.05;0.4810793
2.1;0.4881301
2.15;0.4950937
2.2;0.5019746
2.25;0.5087733
2.3;0.5154797
2.35;0.5220916
2.4;0.528596
2.45;0.5350058
2.5;0.541327
2.55;0.547549
2.6;0.5536746
2.65;0.5597289
2.7;0.5656811
2.75;0.5715285
2.8;0.5773259
2.85;0.582971
2.9;0.5885021
2.95;0.5939912
3;0.5993298
3.05;0.6045925
3.1;0.6097529
3.15;0.6148263
3.2;0.6198214
3.25;0.6247407
3.3;0.6295973
3.35;0.6343947
3.4;0.6391269
3.45;0.6438251
3.5;0.6484755
3.55;0.6530908
3.6;0.6576435
3.65;0.6621715
3.7;0.6666754
3.75;0.6711214
3.8;0.675539
3.85;0.6799141
3.9;0.6842367
3.95;0.6885082
4;0.6927431
4.05;0.6969368
4.1;0.7010774
4.15;0.7051614
4.2;0.709209
4.25;0.7132051
4.3;0.7171543
4.35;0.7210558
4.4;0.7248849
4.45;0.7286828
4.5;0.732418
4.55;0.7361051
4.6;0.7397373
4.65;0.7433296
4.7;0.7468408
4.75;0.7503153
4.8;0.7537363
4.85;0.7571301
4.9;0.7604316
4.95;0.7636947
5;0.7668981
