Tensao [V];Corrente [A]
-5;-0.0001487892
-4.95;-0.0001358008
-4.9;-0.000130654
-4.85;-0.0001276488
-4.8;-0.0001257391
-4.75;-0.0001212997
-4.7;-0.000120085
-4.65;-0.0001184131
-4.6;-0.0001150094
-4.55;-0.0001142016
-4.5;-0.0001059995
-4.45;-0.0001002658
-4.4;-0.000100957
-4.35;-0.0001138635
-4.3;-0.0001228244
-4.25;-0.0001110432
-4.2;-0.000108794
-4.15;-0.0001071173
-4.1;-0.0001058941
-4.05;-0.0001033876
-4;-0.0001023213
-3.95;-0.0001016581
-3.9;-0.0001004459
-3.85;-9.958788E-05
-3.8;-9.788793E-05
-3.75;-9.725056E-05
-3.7;-9.687182E-05
-3.65;-9.665734E-05
-3.6;-9.444989E-05
-3.55;-9.356857E-05
-3.5;-9.22805E-05
-3.45;-9.098976E-05
-3.4;-8.893066E-05
-3.35;-8.855925E-05
-3.3;-8.766444E-05
-3.25;-8.647677E-05
-3.2;-8.451207E-05
-3.15;-8.338322E-05
-3.1;-8.313803E-05
-3.05;-8.161828E-05
-3;-8.050166E-05
-2.95;-7.973435E-05
-2.9;-7.922818E-05
-2.85;-7.80147E-05
-2.8;-7.645324E-05
-2.75;-7.558667E-05
-2.7;-7.504739E-05
-2.65;-7.327505E-05
-2.6;-7.178828E-05
-2.55;-7.023537E-05
-2.5;-6.917752E-05
-2.45;-6.776562E-05
-2.4;-6.744082E-05
-2.35;-6.635606E-05
-2.3;-6.614401E-05
-2.25;-6.541474E-05
-2.2;-6.422706E-05
-2.15;-6.253066E-05
-2.1;-6.239102E-05
-2.05;-6.11898E-05
-2;-5.944936E-05
-1.95;-5.744413E-05
-1.9;-5.645623E-05
-1.85;-5.519502E-05
-1.8;-5.435422E-05
-1.75;-5.332585E-05
-1.7;-5.229996E-05
-1.65;-5.122259E-05
-1.6;-4.976033E-05
-1.55;-4.846116E-05
-1.5;-4.885946E-05
-1.45;-4.769141E-05
-1.4;-4.61789E-05
-1.35;-4.337947E-05
-1.3;-4.233391E-05
-1.25;-4.215864E-05
-1.2;-4.109111E-05
-1.15;-3.948422E-05
-1.1;-3.759669E-05
-1.05;-3.659898E-05
-1;-3.419907E-05
-0.95;-3.053311E-05
-0.9;-2.693818E-05
-0.85;-2.47062E-05
-0.8;-2.195211E-05
-0.75;-1.747837E-05
-0.7;-1.237708E-05
-0.65;-6.621284E-06
-0.6;3.718637E-06
-0.55;2.184317E-05
-0.5;5.613114E-05
-0.45;0.00012342
-0.4;0.0002438828
-0.35;0.000444907
-0.3;0.000758672
-0.25;0.001226478
-0.2;0.001899928
-0.15;0.003291066
-0.1;0.004270481
-0.05;0.00600976
0;0.008569736
0.05;0.01037178
0.1;0.01258103
0.15;0.01480713
0.2;0.01699918
0.25;0.01914311
0.3;0.02231994
0.35;0.02436338
0.4;0.02640393
0.45;0.02842014
0.5;0.03040754
0.55;0.03236354
0.6;0.03429849
0.65;0.03618569
0.7;0.03801317
0.75;0.03979882
0.8;0.04155093
0.85;0.04324942
0.9;0.04489108
0.95;0.04647757
1;0.04801515
1.05;0.04950621
1.1;0.05093532
1.15;0.05229511
1.2;0.05361113
1.25;0.05486881
1.3;0.05607195
1.35;0.05721812
1.4;0.05831944
1.45;0.05936621
1.5;0.0603723
1.55;0.06132676
1.6;0.06224023
1.65;0.06311944
1.7;0.06394862
1.75;0.06474178
1.8;0.06549314
1.85;0.06621352
1.9;0.06690291
1.95;0.06755958
2;0.06818421
2.05;0.06880597
2.1;0.0693913
2.15;0.06995276
2.2;0.07048696
2.25;0.07101728
2.3;0.07153
2.35;0.07201929
2.4;0.07249309
2.45;0.07296651
2.5;0.07342955
2.55;0.07386448
2.6;0.07428292
2.65;0.07470446
2.7;0.07511404
2.75;0.07550501
2.8;0.07588257
2.85;0.07625954
2.9;0.07661731
2.95;0.07696019
3;0.07728727
3.05;0.07760345
3.1;0.07791295
3.15;0.07820674
3.2;0.07848564
3.25;0.07875387
3.3;0.07901814
3.35;0.07927456
3.4;0.0795189
3.45;0.0797554
3.5;0.08000017
3.55;0.08024087
3.6;0.08046627
3.65;0.08069483
3.7;0.08093412
3.75;0.08116255
3.8;0.08139353
3.85;0.08161886
3.9;0.0818522
3.95;0.08209356
4;0.08233435
4.05;0.08255935
4.1;0.08279866
4.15;0.08304043
4.2;0.08327283
4.25;0.08350533
4.3;0.08374568
4.35;0.0839859
4.4;0.08422565
4.45;0.08445511
4.5;0.08469065
4.55;0.08493078
4.6;0.08516761
4.65;0.08539272
4.7;0.08562419
4.75;0.085851
4.8;0.08608513
4.85;0.08630343
4.9;0.08652153
4.95;0.08674401
5;0.0869608
