Tensao [V];Corrente [A]
-5;-0,0001531646
-4,95;-0,0001392372
-4,9;-0,0001337033
-4,85;-0,0001316612
-4,8;-0,0001293314
-4,75;-0,0001271178
-4,7;-0,0001249948
-4,65;-0,0001226624
-4,6;-0,00012127
-4,55;-0,000119282
-4,5;-0,0001172412
-4,45;-0,0001154456
-4,4;-0,0001147163
-4,35;-0,0001134685
-4,3;-0,0001123606
-4,25;-0,0001111704
-4,2;-0,0001090659
-4,15;-0,0001083243
-4,1;-0,0001072863
-4,05;-0,0001060177
-4;-0,000104879
-3,95;-0,0001036288
-3,9;-0,0001033273
-3,85;-0,0001013135
-3,8;-0,0001002336
-3,75;-9,925314E-05
-3,7;-9,779086E-05
-3,65;-9,659587E-05
-3,6;-9,562873E-05
-3,55;-9,52587E-05
-3,5;-9,387235E-05
-3,45;-9,252783E-05
-3,4;-9,13266E-05
-3,35;-9,024321E-05
-3,3;-8,942563E-05
-3,25;-8,822201E-05
-3,2;-8,719492E-05
-3,15;-8,608196E-05
-3,1;-8,502423E-05
-3,05;-8,341616E-05
-3;-8,184357E-05
-2,95;-8,090231E-05
-2,9;-8,008108E-05
-2,85;-7,901223E-05
-2,8;-7,878062E-05
-2,75;-7,717866E-05
-2,7;-7,57532E-05
-2,65;-7,51821E-05
-2,6;-7,411204E-05
-2,55;-7,311921E-05
-2,5;-7,181018E-05
-2,45;-7,076962E-05
-2,4;-6,91725E-05
-2,35;-6,883669E-05
-2,3;-6,774584E-05
-2,25;-6,626278E-05
-2,2;-6,498439E-05
-2,15;-6,38678E-05
-2,1;-6,31091E-05
-2,05;-6,191899E-05
-2;-6,123134E-05
-1,95;-6,051804E-05
-1,9;-5,927154E-05
-1,85;-5,754948E-05
-1,8;-5,682752E-05
-1,75;-5,615827E-05
-1,7;-5,413838E-05
-1,65;-5,28784E-05
-1,6;-5,18476E-05
-1,55;-5,113179E-05
-1,5;-4,963647E-05
-1,45;-4,844879E-05
-1,4;-4,693014E-05
-1,35;-4,599252E-05
-1,3;-4,544343E-05
-1,25;-4,408904E-05
-1,2;-4,199191E-05
-1,15;-4,058363E-05
-1,1;-3,865195E-05
-1,05;-3,623488E-05
-1;-3,402622E-05
-0,95;-3,224655E-05
-0,9;-3,005502E-05
-0,85;-2,694302E-05
-0,8;-2,336282E-05
-0,75;-1,944065E-05
-0,7;-1,458082E-05
-0,65;-6,720557E-06
-0,6;5,027682E-06
-0,55;2,579358E-05
-0,5;6,317398E-05
-0,45;0,0001336716
-0,4;0,0002613411
-0,35;0,0004728736
-0,3;0,0008007506
-0,25;0,001286181
-0,2;0,001987837
-0,15;0,003421486
-0,1;0,004438966
-0,05;0,006235288
0;0,008856252
0,05;0,01069922
0,1;0,01295713
0,15;0,01523878
0,2;0,01747821
0,25;0,01968088
0,3;0,02293045
0,35;0,02500835
0,4;0,02708375
0,45;0,02913658
0,5;0,03117448
0,55;0,03318407
0,6;0,03514989
0,65;0,03705886
0,7;0,03893387
0,75;0,04076865
0,8;0,04254875
0,85;0,04426803
0,9;0,045933
0,95;0,04755475
1;0,04910413
1,05;0,0506166
1,1;0,05206292
1,15;0,05346646
1,2;0,05479765
1,25;0,05606146
1,3;0,05727065
1,35;0,05844371
1,4;0,05956826
1,45;0,06061914
1,5;0,06162128
1,55;0,06258602
1,6;0,0635138
1,65;0,06439123
1,7;0,06521363
1,75;0,06601478
1,8;0,06677701
1,85;0,06750228
1,9;0,06818274
1,95;0,06882141
2;0,06944768
2,05;0,07004921
2,1;0,07062088
2,15;0,07117414
2,2;0,07173116
2,25;0,07226492
2,3;0,07275634
2,35;0,07323598
2,4;0,07372115
2,45;0,07418534
2,5;0,07462118
2,55;0,07504557
2,6;0,07546998
2,65;0,07588194
2,7;0,07627547
2,75;0,07664898
2,8;0,07702285
2,85;0,07739991
2,9;0,07774251
2,95;0,07806291
3;0,07839422
3,05;0,0787028
3,1;0,07899754
3,15;0,07926856
3,2;0,07954205
3,25;0,07980275
3,3;0,08005406
3,35;0,08029025
3,4;0,080524
3,45;0,08075984
3,5;0,08098719
3,55;0,08120699
3,6;0,0814206
3,65;0,08164728
3,7;0,08186932
3,75;0,08207935
3,8;0,08229031
3,85;0,0825179
3,9;0,08274501
3,95;0,08295414
4;0,08317032
4,05;0,08339757
4,1;0,08362802
4,15;0,08384595
4,2;0,08406515
4,25;0,08428204
4,3;0,0845182
4,35;0,08473461
4,4;0,08494985
4,45;0,08517355
4,5;0,08540363
4,55;0,08563295
4,6;0,08583527
4,65;0,08605713
4,7;0,08628523
4,75;0,08650854
4,8;0,08670509
4,85;0,08690782
4,9;0,08712492
4,95;0,08733394
5;0,08752893
