Tensao [V];Corrente [A]
-5;-0,0008750173
-4,95;-0,000858649
-4,9;-0,0008535751
-4,85;-0,0008500075
-4,8;-0,000846938
-4,75;-0,0008446387
-4,7;-0,000842816
-4,65;-0,0008407549
-4,6;-0,0008392338
-4,55;-0,0008385557
-4,5;-0,0008372379
-4,45;-0,0008360305
-4,4;-0,0008346015
-4,35;-0,0008335245
-4,3;-0,000831155
-4,25;-0,0008284966
-4,2;-0,0008277783
-4,15;-0,0008292789
-4,1;-0,0008386896
-4,05;-0,0008408144
-4;-0,0008382265
-3,95;-0,0008356735
-3,9;-0,0008333468
-3,85;-0,0008302239
-3,8;-0,000827425
-3,75;-0,0008254763
-3,7;-0,0008234897
-3,65;-0,0008196291
-3,6;-0,0008177315
-3,55;-0,0008169437
-3,5;-0,0008166636
-3,45;-0,00081535
-3,4;-0,0008132038
-3,35;-0,0008120963
-3,3;-0,0008108232
-3,25;-0,0008099598
-3,2;-0,0008083799
-3,15;-0,0008069519
-3,1;-0,000805199
-3,05;-0,000804058
-3;-0,0008004838
-2,95;-0,0007995009
-2,9;-0,0007994137
-2,85;-0,000798927
-2,8;-0,0007968782
-2,75;-0,0007942476
-2,7;-0,0007923971
-2,65;-0,0007894514
-2,6;-0,0007866707
-2,55;-0,0007827692
-2,5;-0,0007792412
-2,45;-0,000775685
-2,4;-0,0007693008
-2,35;-0,0007612808
-2,3;-0,0007551001
-2,25;-0,000749449
-2,2;-0,0007406371
-2,15;-0,0007313302
-2,1;-0,0007214246
-2,05;-0,0007118447
-2;-0,0006993419
-1,95;-0,0006860608
-1,9;-0,0006726593
-1,85;-0,0006590938
-1,8;-0,0006427487
-1,75;-0,0006220178
-1,7;-0,0005982823
-1,65;-0,0005709523
-1,6;-0,0005335509
-1,55;-0,000482014
-1,5;-0,0004154223
-1,45;-0,0003310636
-1,4;-0,0002216593
-1,35;-8,346187E-05
-1,3;8,90146E-05
-1,25;0,0002982526
-1,2;0,000558934
-1,15;0,0008868698
-1,1;0,001310576
-1,05;0,001876562
-1;0,002973994
-0,95;0,003842857
-0,9;0,005482479
-0,85;0,007916355
-0,8;0,01143832
-0,75;0,01641418
-0,7;0,02688735
-0,65;0,03709162
-0,6;0,05029412
-0,55;0,06773914
-0,5;0,08995826
-0,45;0,1167359
-0,4;0,1473737
-0,35;0,1804642
-0,3;0,2153656
-0,25;0,2519838
-0,2;0,2900752
-0,15;0,3294915
-0,1;0,3701751
-0,05;0,4120115
0;0,4552247
0,05;0,4991048
0,1;0,5442881
0,15;0,5906545
0,2;0,638218
0,25;0,6871194
0,3;0,7374575
0,35;0,7893118
0,4;0,8426649
0,45;0,8975564
0,5;0,9539099
0,55;1,011753
0,6;1,070967
0,65;1,131501
0,7;1,193171
0,75;1,255923
0,8;1,319472
0,85;1,383674
0,9;1,448356
0,95;1,513338
1;1,57848
1,05;1,643666
1,1;1,708852
1,15;1,773852
1,2;1,83851
1,25;1,902835
1,3;1,966689
1,35;2,02999
1,4;2,092754
1,45;2,154748
1,5;2,216158
1,55;2,276656
1,6;2,336281
1,65;2,394695
1,7;2,452024
1,75;2,508526
1,8;2,564132
1,85;2,618588
1,9;2,672107
1,95;2,725039
2;2,777023
2,05;2,82817
2,1;2,878731
2,15;2,928696
2,2;2,977796
2,25;3,026059
2,3;3,073575
2,35;3,12005
2,4;3,165855
2,45;3,210775
2,5;3,254969
2,55;3,298252
2,6;3,340447
2,65;3,381808
2,7;3,422194
2,75;3,461458
2,8;3,499935
2,85;3,537174
2,9;3,573329
2,95;3,608421
3;3,642505
3,05;3,675636
3,1;3,707708
3,15;3,739281
3,2;3,769805
3,25;3,799955
3,3;3,82939
3,35;3,858304
3,4;3,886958
3,45;3,91482
3,5;3,942686
3,55;3,970128
3,6;3,997206
3,65;4,023836
3,7;4,050366
3,75;4,076557
3,8;4,102611
3,85;4,128466
3,9;4,154108
3,95;4,17935
4;4,204431
4,05;4,229035
4,1;4,253842
4,15;4,278049
4,2;4,301903
4,25;4,325613
4,3;4,349012
4,35;4,371943
4,4;4,394413
4,45;4,416787
4,5;4,438672
4,55;4,460419
4,6;4,481927
4,65;4,502951
4,7;4,523591
4,75;4,544062
4,8;4,564211
4,85;4,583876
4,9;4,603127
4,95;4,622264
5;4,640963
