Tensao [V];Corrente [A]
-5;-0,0008774296
-4,95;-0,000861083
-4,9;-0,0008541305
-4,85;-0,0008510624
-4,8;-0,0008488061
-4,75;-0,0008468916
-4,7;-0,0008433565
-4,65;-0,0008413297
-4,6;-0,000841726
-4,55;-0,0008415825
-4,5;-0,0008400968
-4,45;-0,0008383734
-4,4;-0,0008378301
-4,35;-0,0008360467
-4,3;-0,0008348941
-4,25;-0,0008333768
-4,2;-0,0008315041
-4,15;-0,0008308549
-4,1;-0,0008298436
-4,05;-0,0008254089
-4;-0,0008243515
-3,95;-0,0008248557
-3,9;-0,0008242366
-3,85;-0,0008235174
-3,8;-0,0008221069
-3,75;-0,0008204766
-3,7;-0,0008200942
-3,65;-0,0008179283
-3,6;-0,0008162426
-3,55;-0,0008154071
-3,5;-0,0008141606
-3,45;-0,0008125596
-3,4;-0,0008114138
-3,35;-0,0008103993
-3,3;-0,0008099812
-3,25;-0,0008093859
-3,2;-0,0008071405
-3,15;-0,0008056878
-3,1;-0,0008039829
-3,05;-0,0008031144
-3;-0,000802356
-2,95;-0,0008001941
-2,9;-0,0007988248
-2,85;-0,000796836
-2,8;-0,0007933658
-2,75;-0,0007920554
-2,7;-0,0007911655
-2,65;-0,0007898699
-2,6;-0,0007871899
-2,55;-0,0007846928
-2,5;-0,000779999
-2,45;-0,0007748731
-2,4;-0,0007697275
-2,35;-0,0007620956
-2,3;-0,0007559057
-2,25;-0,0007483659
-2,2;-0,0007393864
-2,15;-0,0007281408
-2,1;-0,0007197045
-2,05;-0,0007108966
-2;-0,0006995169
-1,95;-0,0006873914
-1,9;-0,0006735376
-1,85;-0,0006594083
-1,8;-0,000639882
-1,75;-0,0006215646
-1,7;-0,0005987979
-1,65;-0,0005706959
-1,6;-0,0005323861
-1,55;-0,0004822678
-1,5;-0,0004155128
-1,45;-0,0003320733
-1,4;-0,0002240886
-1,35;-8,533101E-05
-1,3;8,525165E-05
-1,25;0,0003012577
-1,2;0,0005553207
-1,15;0,0008822179
-1,1;0,001302957
-1,05;0,001867809
-1;0,002947082
-0,95;0,003830245
-0,9;0,005467653
-0,85;0,00789779
-0,8;0,01141038
-0,75;0,01637205
-0,7;0,02682251
-0,65;0,03700379
-0,6;0,05018774
-0,55;0,06759691
-0,5;0,08978681
-0,45;0,1165324
-0,4;0,1471553
-0,35;0,1802415
-0,3;0,2151374
-0,25;0,2517457
-0,2;0,2898202
-0,15;0,329233
-0,1;0,3698963
-0,05;0,4117287
0;0,4549207
0,05;0,498772
0,1;0,5439379
0,15;0,5902948
0,2;0,6378328
0,25;0,6867235
0,3;0,7370322
0,35;0,7888658
0,4;0,8422118
0,45;0,8970609
0,5;0,9533937
0,55;1,011202
0,6;1,070441
0,65;1,130981
0,7;1,192659
0,75;1,255346
0,8;1,318886
0,85;1,383085
0,9;1,447747
0,95;1,512717
1;1,577844
1,05;1,643071
1,1;1,708223
1,15;1,77321
1,2;1,837975
1,25;1,902251
1,3;1,966095
1,35;2,029445
1,4;2,09216
1,45;2,154222
1,5;2,215632
1,55;2,276055
1,6;2,335719
1,65;2,394305
1,7;2,451672
1,75;2,508248
1,8;2,563631
1,85;2,618223
1,9;2,671681
1,95;2,724564
2;2,776685
2,05;2,827821
2,1;2,878331
2,15;2,928245
2,2;2,977281
2,25;3,025608
2,3;3,07321
2,35;3,119816
2,4;3,165667
2,45;3,210535
2,5;3,254717
2,55;3,298049
2,6;3,340436
2,65;3,381658
2,7;3,42198
2,75;3,461408
2,8;3,499771
2,85;3,537149
2,9;3,573142
2,95;3,60847
3;3,642415
3,05;3,675546
3,1;3,70782
3,15;3,739207
3,2;3,769938
3,25;3,79984
3,3;3,829442
3,35;3,858378
3,4;3,88703
3,45;3,914871
3,5;3,942797
3,55;3,970225
3,6;3,99735
3,65;4,023932
3,7;4,05061
3,75;4,076825
3,8;4,102844
3,85;4,128772
3,9;4,154417
3,95;4,179723
4;4,20498
4,05;4,229568
4,1;4,254265
4,15;4,278484
4,2;4,302418
4,25;4,325985
4,3;4,349279
4,35;4,37234
4,4;4,394963
4,45;4,417221
4,5;4,439346
4,55;4,460916
4,6;4,482275
4,65;4,5033
4,7;4,523974
4,75;4,544424
4,8;4,564673
4,85;4,584369
4,9;4,603722
4,95;4,622885
5;4,641564
