Tensao [V];Corrente [A]
-5;-0.0003257868
-4.95;-0.0003081519
-4.9;-0.0003010022
-4.85;-0.0002973548
-4.8;-0.0002939816
-4.75;-0.0002917349
-4.7;-0.0002888237
-4.65;-0.0002876288
-4.6;-0.0002852191
-4.55;-0.0002822773
-4.5;-0.0002823707
-4.45;-0.0002824231
-4.4;-0.0002823728
-4.35;-0.0002813925
-4.3;-0.0002795723
-4.25;-0.0002781627
-4.2;-0.0002777789
-4.15;-0.0002758474
-4.1;-0.0002739317
-4.05;-0.0002734781
-4;-0.000273526
-3.95;-0.0002692102
-3.9;-0.0002669331
-3.85;-0.0002682395
-3.8;-0.0002686256
-3.75;-0.0002677051
-3.7;-0.0002675288
-3.65;-0.0002652452
-3.6;-0.000264391
-3.55;-0.0002636003
-3.5;-0.0002618352
-3.45;-0.0002605569
-3.4;-0.0002596561
-3.35;-0.0002582476
-3.3;-0.0002555057
-3.25;-0.0002595911
-3.2;-0.0002602113
-3.15;-0.0002576694
-3.1;-0.0002548599
-3.05;-0.0002523939
-3;-0.0002517932
-2.95;-0.0002508703
-2.9;-0.0002494437
-2.85;-0.0002486752
-2.8;-0.0002478454
-2.75;-0.0002469615
-2.7;-0.0002449574
-2.65;-0.0002435259
-2.6;-0.0002417549
-2.55;-0.0002399667
-2.5;-0.0002382506
-2.45;-0.0002361905
-2.4;-0.0002342294
-2.35;-0.0002329458
-2.3;-0.000229476
-2.25;-0.0002261091
-2.2;-0.000223078
-2.15;-0.0002194902
-2.1;-0.0002153279
-2.05;-0.0002095341
-2;-0.0002049573
-1.95;-0.0002035282
-1.9;-0.0001978458
-1.85;-0.0001924234
-1.8;-0.000187441
-1.75;-0.0001819156
-1.7;-0.0001762615
-1.65;-0.0001689
-1.6;-0.0001627495
-1.55;-0.0001560645
-1.5;-0.0001488184
-1.45;-0.0001383853
-1.4;-0.0001264054
-1.35;-0.0001149231
-1.3;-9.888748E-05
-1.25;-7.655544E-05
-1.2;-4.704697E-05
-1.15;-6.492625E-06
-1.1;4.644828E-05
-1.05;0.0001160971
-1;0.0002072903
-0.95;0.0003305225
-0.9;0.0005055889
-0.85;0.0007640212
-0.8;0.001166145
-0.75;0.001802595
-0.7;0.003248693
-0.65;0.004474805
-0.6;0.006850266
-0.55;0.01029753
-0.5;0.01502888
-0.45;0.02469506
-0.4;0.03390397
-0.35;0.04519896
-0.3;0.05858049
-0.25;0.07398994
-0.2;0.09117095
-0.15;0.1100701
-0.1;0.1306179
-0.05;0.1525093
0;0.1756963
0.05;0.1996763
0.1;0.2245644
0.15;0.250065
0.2;0.2760599
0.25;0.3026383
0.3;0.3298211
0.35;0.3575803
0.4;0.3859212
0.45;0.4148565
0.5;0.4443881
0.55;0.4744736
0.6;0.5051648
0.65;0.5364182
0.7;0.568225
0.75;0.6005416
0.8;0.6332733
0.85;0.6663728
0.9;0.6996336
0.95;0.7328964
1;0.7659697
1.05;0.7987097
1.1;0.8310172
1.15;0.8627603
1.2;0.8938177
1.25;0.9240919
1.3;0.9535306
1.35;0.9821655
1.4;1.009926
1.45;1.036731
1.5;1.062655
1.55;1.087684
1.6;1.111856
1.65;1.135228
1.7;1.157861
1.75;1.179789
1.8;1.201088
1.85;1.221801
1.9;1.241888
1.95;1.261488
2;1.280525
2.05;1.299008
2.1;1.317013
2.15;1.334505
2.2;1.351475
2.25;1.367931
2.3;1.383985
2.35;1.399513
2.4;1.414565
2.45;1.429207
2.5;1.443443
2.55;1.457208
2.6;1.470534
2.65;1.4835
2.7;1.49597
2.75;1.508083
2.8;1.51977
2.85;1.53104
2.9;1.54184
2.95;1.552248
3;1.562278
3.05;1.571978
3.1;1.581346
3.15;1.590391
3.2;1.599209
3.25;1.607786
3.3;1.616168
3.35;1.624434
3.4;1.632519
3.45;1.640495
3.5;1.648408
3.55;1.656167
3.6;1.663927
3.65;1.671591
3.7;1.679286
3.75;1.686906
3.8;1.694483
3.85;1.702046
3.9;1.709536
3.95;1.716986
4;1.724391
4.05;1.731758
4.1;1.739103
4.15;1.746421
4.2;1.753671
4.25;1.760858
4.3;1.76803
4.35;1.775157
4.4;1.7822
4.45;1.789151
4.5;1.796055
4.55;1.802925
4.6;1.809646
4.65;1.81634
4.7;1.822907
4.75;1.829413
4.8;1.835781
4.85;1.842111
4.9;1.848325
4.95;1.854418
5;1.860442
