Tensao [V];Corrente [A]
-5;-0.000322245
-4.95;-0.0003039172
-4.9;-0.0002961092
-4.85;-0.0002906624
-4.8;-0.0002877355
-4.75;-0.0002870356
-4.7;-0.0002868078
-4.65;-0.0002849924
-4.6;-0.0002836281
-4.55;-0.000281535
-4.5;-0.00027982
-4.45;-0.0002780574
-4.4;-0.0002768358
-4.35;-0.0002769997
-4.3;-0.0002749603
-4.25;-0.0002720027
-4.2;-0.0002701789
-4.15;-0.0002702058
-4.1;-0.0002700157
-4.05;-0.0002695524
-4;-0.000268137
-3.95;-0.0002664244
-3.9;-0.0002659205
-3.85;-0.0002649242
-3.8;-0.0002645932
-3.75;-0.0002624411
-3.7;-0.0002606149
-3.65;-0.0002583462
-3.6;-0.0002546913
-3.55;-0.0002548038
-3.5;-0.0002563811
-3.45;-0.0002569683
-3.4;-0.0002566325
-3.35;-0.0002561178
-3.3;-0.0002548221
-3.25;-0.0002528966
-3.2;-0.0002515102
-3.15;-0.0002508349
-3.1;-0.0002502281
-3.05;-0.0002489046
-3;-0.0002470094
-2.95;-0.0002438915
-2.9;-0.0002433105
-2.85;-0.0002445437
-2.8;-0.0002447264
-2.75;-0.0002441697
-2.7;-0.0002432099
-2.65;-0.0002421841
-2.6;-0.0002405441
-2.55;-0.0002382952
-2.5;-0.0002366134
-2.45;-0.000234933
-2.4;-0.0002322203
-2.35;-0.0002274832
-2.3;-0.0002238477
-2.25;-0.000221345
-2.2;-0.0002186447
-2.15;-0.0002153979
-2.1;-0.0002109413
-2.05;-0.0002069406
-2;-0.0002022292
-1.95;-0.0001969844
-1.9;-0.0001915178
-1.85;-0.0001866175
-1.8;-0.0001811375
-1.75;-0.000175585
-1.7;-0.0001676599
-1.65;-0.0001619848
-1.6;-0.0001560501
-1.55;-0.0001493663
-1.5;-0.0001421874
-1.45;-0.0001332436
-1.4;-0.0001230974
-1.35;-0.000109654
-1.3;-9.289877E-05
-1.25;-7.131936E-05
-1.2;-4.040377E-05
-1.15;4.435496E-07
-1.1;5.36065E-05
-1.05;0.0001221142
-1;0.0002126553
-0.95;0.0003360358
-0.9;0.0005109945
-0.85;0.0007683537
-0.8;0.001168172
-0.75;0.001804973
-0.7;0.003293465
-0.65;0.004484446
-0.6;0.006856452
-0.55;0.01030119
-0.5;0.01502473
-0.45;0.02469131
-0.4;0.03389522
-0.35;0.04518871
-0.3;0.05856551
-0.25;0.07398288
-0.2;0.09116625
-0.15;0.1100594
-0.1;0.1305952
-0.05;0.1524772
0;0.1756621
0.05;0.1996379
0.1;0.224521
0.15;0.2500291
0.2;0.2760136
0.25;0.3025721
0.3;0.3297207
0.35;0.3574691
0.4;0.3857701
0.45;0.4146792
0.5;0.4441714
0.55;0.4742316
0.6;0.5048904
0.65;0.5361164
0.7;0.5678693
0.75;0.6001645
0.8;0.6328874
0.85;0.6659653
0.9;0.6991882
0.95;0.7324213
1;0.7654719
1.05;0.7982134
1.1;0.8304779
1.15;0.8621606
1.2;0.8931968
1.25;0.9234487
1.3;0.9528629
1.35;0.9814754
1.4;1.009185
1.45;1.036012
1.5;1.061935
1.55;1.086962
1.6;1.111124
1.65;1.134476
1.7;1.157118
1.75;1.17903
1.8;1.200313
1.85;1.220983
1.9;1.241091
1.95;1.260628
2;1.279653
2.05;1.298159
2.1;1.316175
2.15;1.333636
2.2;1.35064
2.25;1.367112
2.3;1.383131
2.35;1.398696
2.4;1.413751
2.45;1.428378
2.5;1.442554
2.55;1.456314
2.6;1.469668
2.65;1.482625
2.7;1.495128
2.75;1.507259
2.8;1.518928
2.85;1.530202
2.9;1.541004
2.95;1.551415
3;1.561456
3.05;1.571114
3.1;1.580464
3.15;1.589548
3.2;1.598346
3.25;1.606924
3.3;1.615321
3.35;1.623546
3.4;1.631701
3.45;1.639662
3.5;1.647576
3.55;1.655372
3.6;1.663156
3.65;1.670804
3.7;1.678437
3.75;1.686003
3.8;1.693637
3.85;1.701198
3.9;1.708668
3.95;1.7161
4;1.723551
4.05;1.730938
4.1;1.73826
4.15;1.745566
4.2;1.752836
4.25;1.760046
4.3;1.767176
4.35;1.774249
4.4;1.781267
4.45;1.788254
4.5;1.795206
4.55;1.802022
4.6;1.808785
4.65;1.81547
4.7;1.822087
4.75;1.82858
4.8;1.835023
4.85;1.84136
4.9;1.847536
4.95;1.853644
5;1.859628
