Tensao [V];Corrente [A]
-5;-0.001291435
-4.95;-0.001277336
-4.9;-0.001273719
-4.85;-0.001271252
-4.8;-0.001268705
-4.75;-0.001266892
-4.7;-0.0012657
-4.65;-0.001263736
-4.6;-0.001261059
-4.55;-0.001260299
-4.5;-0.001258703
-4.45;-0.001255338
-4.4;-0.001252541
-4.35;-0.001253381
-4.3;-0.001253157
-4.25;-0.001251176
-4.2;-0.001249483
-4.15;-0.001247957
-4.1;-0.001248325
-4.05;-0.001246854
-4;-0.001245342
-3.95;-0.001243703
-3.9;-0.00124306
-3.85;-0.001241746
-3.8;-0.001236816
-3.75;-0.001236193
-3.7;-0.001237006
-3.65;-0.001236449
-3.6;-0.001234641
-3.55;-0.0012334
-3.5;-0.001232385
-3.45;-0.001231307
-3.4;-0.00122863
-3.35;-0.001228069
-3.3;-0.001226703
-3.25;-0.001225541
-3.2;-0.001222894
-3.15;-0.001219022
-3.1;-0.001219547
-3.05;-0.001219617
-3;-0.001217374
-2.95;-0.001215559
-2.9;-0.001214855
-2.85;-0.001212791
-2.8;-0.001210486
-2.75;-0.001208515
-2.7;-0.00120688
-2.65;-0.001203342
-2.6;-0.001199753
-2.55;-0.001194253
-2.5;-0.001190273
-2.45;-0.001187956
-2.4;-0.001181685
-2.35;-0.0011746
-2.3;-0.001167646
-2.25;-0.001158941
-2.2;-0.001146948
-2.15;-0.001134419
-2.1;-0.001122818
-2.05;-0.001109991
-2;-0.001093589
-1.95;-0.001076726
-1.9;-0.001057796
-1.85;-0.001039549
-1.8;-0.00101556
-1.75;-0.000987924
-1.7;-0.0009554938
-1.65;-0.0009126367
-1.6;-0.0008551812
-1.55;-0.0007773991
-1.5;-0.0006778725
-1.45;-0.000547951
-1.4;-0.0003787277
-1.35;-0.0001635967
-1.3;0.0001018069
-1.25;0.0004300575
-1.2;0.0008356394
-1.15;0.001347749
-1.1;0.002011008
-1.05;0.003285688
-1;0.004203634
-0.95;0.005973118
-0.9;0.00859063
-0.85;0.01238384
-0.8;0.0178184
-0.75;0.02953636
-0.7;0.04126306
-0.65;0.05656609
-0.6;0.07657211
-0.55;0.102679
-0.5;0.1351923
-0.45;0.1737263
-0.4;0.2163624
-0.35;0.2617069
-0.3;0.3093051
-0.25;0.3588315
-0.2;0.4099862
-0.15;0.4626571
-0.1;0.51674
-0.05;0.5721653
0;0.6292507
0.05;0.6871751
0.1;0.7467617
0.15;0.8078871
0.2;0.8706562
0.25;0.9352701
0.3;1.00181
0.35;1.070319
0.4;1.140873
0.45;1.213419
0.5;1.288052
0.55;1.364741
0.6;1.44339
0.65;1.523884
0.7;1.606069
0.75;1.689757
0.8;1.774751
0.85;1.860869
0.9;1.94772
0.95;2.035145
1;2.12297
1.05;2.211223
1.1;2.299159
1.15;2.387299
1.2;2.475076
1.25;2.562565
1.3;2.650104
1.35;2.737006
1.4;2.823646
1.45;2.909485
1.5;2.995004
1.55;3.079732
1.6;3.163851
1.65;3.247132
1.7;3.330053
1.75;3.412274
1.8;3.493635
1.85;3.574257
1.9;3.653944
1.95;3.733031
2;3.811471
2.05;3.888757
2.1;3.965659
2.15;4.041377
2.2;4.116722
2.25;4.191124
2.3;4.264734
2.35;4.337252
2.4;4.408623
2.45;4.479111
2.5;4.54817
2.55;4.616112
2.6;4.682701
2.65;4.748192
2.7;4.812338
2.75;4.875306
2.8;4.937291
2.85;4.997904
2.9;5.057291
2.95;5.11553
3;5.17262
3.05;5.228032
3.1;5.282806
3.15;5.336075
3.2;5.388383
3.25;5.439839
3.3;5.490392
3.35;5.540516
3.4;5.589678
3.45;5.638218
3.5;5.686105
3.55;5.733994
3.6;5.780833
3.65;5.827103
3.7;5.873426
3.75;5.919096
3.8;5.964467
3.85;6.009008
3.9;6.053075
3.95;6.097108
4;6.140239
4.05;6.182462
4.1;6.224459
4.15;6.266011
4.2;6.307034
4.25;6.347438
4.3;6.387439
4.35;6.426839
4.4;6.465453
4.45;6.503695
4.5;6.541069
4.55;6.578019
4.6;6.614168
4.65;6.649544
4.7;6.684591
4.75;6.718918
4.8;6.752551
4.85;6.78555
4.9;6.818024
4.95;6.849931
5;6.880962
