Tensao [V];Corrente [A]
-5;-0,001294601
-4,95;-0,001277907
-4,9;-0,001269475
-4,85;-0,001265238
-4,8;-0,001267686
-4,75;-0,001266214
-4,7;-0,001263593
-4,65;-0,001262025
-4,6;-0,001262479
-4,55;-0,001260425
-4,5;-0,001257374
-4,45;-0,001255381
-4,4;-0,001254658
-4,35;-0,001253448
-4,3;-0,00124946
-4,25;-0,001246487
-4,2;-0,001245719
-4,15;-0,001247356
-4,1;-0,001245623
-4,05;-0,001244395
-4;-0,001244442
-3,95;-0,001243846
-3,9;-0,001241116
-3,85;-0,001239338
-3,8;-0,001238725
-3,75;-0,001237302
-3,7;-0,001235278
-3,65;-0,001230896
-3,6;-0,001230232
-3,55;-0,001232054
-3,5;-0,001230132
-3,45;-0,001229264
-3,4;-0,00122869
-3,35;-0,001226555
-3,3;-0,001224309
-3,25;-0,001221842
-3,2;-0,001221493
-3,15;-0,001221038
-3,1;-0,001218941
-3,05;-0,00121529
-3;-0,001213935
-2,95;-0,001213072
-2,9;-0,001213815
-2,85;-0,001209009
-2,8;-0,001187759
-2,75;-0,001170516
-2,7;-0,001184351
-2,65;-0,001189212
-2,6;-0,001191265
-2,55;-0,001189581
-2,5;-0,001192555
-2,45;-0,001183388
-2,4;-0,0011406
-2,35;-0,001136446
-2,3;-0,001142052
-2,25;-0,001142035
-2,2;-0,001134819
-2,15;-0,001130128
-2,1;-0,001117218
-2,05;-0,001103625
-2;-0,001090471
-1,95;-0,001076433
-1,9;-0,001058001
-1,85;-0,001037079
-1,8;-0,001014215
-1,75;-0,0009878054
-1,7;-0,0009533653
-1,65;-0,0009102335
-1,6;-0,0008535548
-1,55;-0,0007792172
-1,5;-0,0006777179
-1,45;-0,0005451124
-1,4;-0,0003772945
-1,35;-0,0001659867
-1,3;9,866781E-05
-1,25;0,0004268496
-1,2;0,0008317254
-1,15;0,001342369
-1,1;0,00200651
-1,05;0,003234259
-1;0,004192571
-0,95;0,005965181
-0,9;0,008578414
-0,85;0,01236628
-0,8;0,01779034
-0,75;0,02949319
-0,7;0,0411962
-0,65;0,05648607
-0,6;0,07647027
-0,55;0,1025293
-0,5;0,1350014
-0,45;0,1735145
-0,4;0,2161227
-0,35;0,2614348
-0,3;0,3090313
-0,25;0,3585336
-0,2;0,4096721
-0,15;0,4622838
-0,1;0,5163414
-0,05;0,571749
0;0,6288213
0,05;0,6866863
0,1;0,7462344
0,15;0,807349
0,2;0,8701008
0,25;0,9346585
0,3;1,001142
0,35;1,069661
0,4;1,140168
0,45;1,21269
0,5;1,287298
0,55;1,363941
0,6;1,442579
0,65;1,523014
0,7;1,605172
0,75;1,688856
0,8;1,773807
0,85;1,859805
0,9;1,946628
0,95;2,034061
1;2,121834
1,05;2,210034
1,1;2,298135
1,15;2,386211
1,2;2,473899
1,25;2,561576
1,3;2,648829
1,35;2,735692
1,4;2,822458
1,45;2,908236
1,5;2,993715
1,55;3,078448
1,6;3,162399
1,65;3,246085
1,7;3,328717
1,75;3,41085
1,8;3,492234
1,85;3,572656
1,9;3,652479
1,95;3,731455
2;3,809655
2,05;3,887207
2,1;3,96396
2,15;4,039964
2,2;4,115208
2,25;4,189601
2,3;4,262844
2,35;4,335473
2,4;4,406951
2,45;4,477123
2,5;4,546657
2,55;4,6144
2,6;4,6809
2,65;4,746331
2,7;4,81046
2,75;4,87361
2,8;4,935526
2,85;4,995974
2,9;5,055441
2,95;5,113564
3;5,170444
3,05;5,226223
3,1;5,280754
3,15;5,334074
3,2;5,386556
3,25;5,438067
3,3;5,488653
3,35;5,538488
3,4;5,587729
3,45;5,636253
3,5;5,684478
3,55;5,731982
3,6;5,77898
3,65;5,825238
3,7;5,87119
3,75;5,916733
3,8;5,962002
3,85;6,00653
3,9;6,050981
3,95;6,094518
4;6,137814
4,05;6,180524
4,1;6,222723
4,15;6,264222
4,2;6,304863
4,25;6,345302
4,3;6,385328
4,35;6,424691
4,4;6,463366
4,45;6,501475
4,5;6,539104
4,55;6,57587
4,6;6,61204
4,65;6,647706
4,7;6,682588
4,75;6,716964
4,8;6,750463
4,85;6,783558
4,9;6,815879
4,95;6,847875
5;6,879149
