Tensao [V];Corrente [A]
-5;-0,0004727291
-4,95;-0,0004546491
-4,9;-0,0004481103
-4,85;-0,0004441344
-4,8;-0,0004420465
-4,75;-0,0004394459
-4,7;-0,0004381086
-4,65;-0,0004364012
-4,6;-0,0004348301
-4,55;-0,0004334976
-4,5;-0,000432283
-4,45;-0,0004315413
-4,4;-0,0004298218
-4,35;-0,0004279123
-4,3;-0,0004243811
-4,25;-0,0004238186
-4,2;-0,0004241873
-4,15;-0,0004232744
-4,1;-0,000422695
-4,05;-0,0004216122
-4;-0,0004210636
-3,95;-0,0004195385
-3,9;-0,0004186365
-3,85;-0,0004170809
-3,8;-0,0004161522
-3,75;-0,0004141038
-3,7;-0,0004115497
-3,65;-0,0004098779
-3,6;-0,0004098788
-3,55;-0,0004107273
-3,5;-0,0004100749
-3,45;-0,0004089747
-3,4;-0,0004078431
-3,35;-0,0004055466
-3,3;-0,0004049752
-3,25;-0,0004041868
-3,2;-0,0004030606
-3,15;-0,0004013005
-3,1;-0,0004003211
-3,05;-0,0003971246
-3;-0,0003962768
-2,95;-0,0003968232
-2,9;-0,0003965768
-2,85;-0,0003958867
-2,8;-0,0003952042
-2,75;-0,0003940912
-2,7;-0,0003917208
-2,65;-0,000390131
-2,6;-0,0003881673
-2,55;-0,0003866112
-2,5;-0,0003843874
-2,45;-0,0003813688
-2,4;-0,0003779294
-2,35;-0,0003741959
-2,3;-0,0003721382
-2,25;-0,0003687285
-2,2;-0,0003649485
-2,15;-0,0003606278
-2,1;-0,0003551602
-2,05;-0,0003505823
-2;-0,0003457102
-1,95;-0,000340451
-1,9;-0,0003336876
-1,85;-0,0003271488
-1,8;-0,0003187465
-1,75;-0,0003108964
-1,7;-0,0003030875
-1,65;-0,0002955363
-1,6;-0,0002882115
-1,55;-0,0002787924
-1,5;-0,0002678608
-1,45;-0,0002551555
-1,4;-0,0002404374
-1,35;-0,0002204776
-1,3;-0,0001936561
-1,25;-0,0001580467
-1,2;-0,0001106733
-1,15;-4,560737E-05
-1,1;3,814355E-05
-1,05;0,0001450402
-1;0,0002861757
-0,95;0,0004797537
-0,9;0,0007543334
-0,85;0,00116495
-0,8;0,001796511
-0,75;0,003240063
-0,7;0,004429401
-0,65;0,006855308
-0,6;0,0104867
-0,55;0,01558564
-0,5;0,02617499
-0,45;0,03638489
-0,4;0,04940884
-0,35;0,06525494
-0,3;0,0840306
-0,25;0,1054301
-0,2;0,1291236
-0,15;0,1549988
-0,1;0,1827898
-0,05;0,2121008
0;0,2430242
0,05;0,27492
0,1;0,308026
0,15;0,3419825
0,2;0,3767813
0,25;0,4125411
0,3;0,4493112
0,35;0,4870662
0,4;0,5257567
0,45;0,5653729
0,5;0,6058781
0,55;0,6473488
0,6;0,6897912
0,65;0,7331544
0,7;0,777455
0,75;0,8225874
0,8;0,8684332
0,85;0,9149304
0,9;0,9618641
0,95;1,009044
1;1,056338
1,05;1,103495
1,1;1,150297
1,15;1,196491
1,2;1,242028
1,25;1,286793
1,3;1,330742
1,35;1,373725
1,4;1,41564
1,45;1,45653
1,5;1,496188
1,55;1,534744
1,6;1,572112
1,65;1,608396
1,7;1,643714
1,75;1,678095
1,8;1,711673
1,85;1,744356
1,9;1,776331
1,95;1,807489
2;1,83802
2,05;1,867933
2,1;1,897327
2,15;1,92614
2,2;1,954253
2,25;1,981879
2,3;2,008815
2,35;2,035044
2,4;2,060602
2,45;2,085374
2,5;2,10955
2,55;2,132834
2,6;2,155331
2,65;2,176916
2,7;2,197728
2,75;2,21774
2,8;2,23694
2,85;2,255392
2,9;2,273145
2,95;2,290223
3;2,306788
3,05;2,322744
3,1;2,338086
3,15;2,352768
3,2;2,367065
3,25;2,381009
3,3;2,394516
3,35;2,407911
3,4;2,420958
3,45;2,433891
3,5;2,446663
3,55;2,459122
3,6;2,471491
3,65;2,484128
3,7;2,49635
3,75;2,50862
3,8;2,520782
3,85;2,533006
3,9;2,545076
3,95;2,557073
4;2,568996
4,05;2,580793
4,1;2,592528
4,15;2,604126
4,2;2,615636
4,25;2,627398
4,3;2,638608
4,35;2,649983
4,4;2,661106
4,45;2,672227
4,5;2,683277
4,55;2,694027
4,6;2,704824
4,65;2,715072
4,7;2,725738
4,75;2,736038
4,8;2,745973
4,85;2,755897
4,9;2,765598
4,95;2,775424
5;2,785025
