Tensao [V];Corrente [A]
-5;-0.0004750884
-4.95;-0.0004569327
-4.9;-0.000449861
-4.85;-0.0004462115
-4.8;-0.000443122
-4.75;-0.0004396133
-4.7;-0.0004374567
-4.65;-0.0004350273
-4.6;-0.0004341819
-4.55;-0.0004343974
-4.5;-0.0004332591
-4.45;-0.0004327489
-4.4;-0.0004307252
-4.35;-0.0004282043
-4.3;-0.0004275424
-4.25;-0.000427454
-4.2;-0.0004264258
-4.15;-0.0004240725
-4.1;-0.0004228588
-4.05;-0.0004189945
-4;-0.0004177074
-3.95;-0.0004168581
-3.9;-0.0004176976
-3.85;-0.0004184771
-3.8;-0.0004175053
-3.75;-0.0004153017
-3.7;-0.000414061
-3.65;-0.0004140611
-3.6;-0.0004122447
-3.55;-0.0004099979
-3.5;-0.0004086178
-3.45;-0.0004074902
-3.4;-0.0004076986
-3.35;-0.0004057899
-3.3;-0.0004050768
-3.25;-0.00040379
-3.2;-0.000402481
-3.15;-0.0004008384
-3.1;-0.0003995684
-3.05;-0.0003995221
-3;-0.0003989974
-2.95;-0.000397403
-2.9;-0.0003958548
-2.85;-0.0003950963
-2.8;-0.0003925566
-2.75;-0.0003894408
-2.7;-0.0003886306
-2.65;-0.0003892202
-2.6;-0.0003880199
-2.55;-0.0003864404
-2.5;-0.0003829375
-2.45;-0.0003792102
-2.4;-0.0003784049
-2.35;-0.0003752951
-2.3;-0.0003709981
-2.25;-0.0003677376
-2.2;-0.0003632237
-2.15;-0.0003561317
-2.1;-0.0003503429
-2.05;-0.0003469554
-2;-0.0003433321
-1.95;-0.0003376792
-1.9;-0.0003309296
-1.85;-0.0003244981
-1.8;-0.0003178012
-1.75;-0.0003097252
-1.7;-0.0003011943
-1.65;-0.0002934004
-1.6;-0.0002855204
-1.55;-0.0002749798
-1.5;-0.000261502
-1.45;-0.0002497834
-1.4;-0.0002362042
-1.35;-0.0002169108
-1.3;-0.0001894568
-1.25;-0.0001539416
-1.2;-0.0001074945
-1.15;-4.430595E-05
-1.1;3.96673E-05
-1.05;0.0001476776
-1;0.0002891927
-0.95;0.0004833854
-0.9;0.0007605068
-0.85;0.001171337
-0.8;0.001801056
-0.75;0.00322092
-0.7;0.004432235
-0.65;0.006864492
-0.6;0.01050064
-0.55;0.01561075
-0.5;0.02621803
-0.45;0.03645193
-0.4;0.04948324
-0.35;0.0653509
-0.3;0.08415524
-0.25;0.1055854
-0.2;0.1293152
-0.15;0.1552173
-0.1;0.1830418
-0.05;0.2123873
0;0.2433474
0.05;0.2752725
0.1;0.3084186
0.15;0.342405
0.2;0.3772406
0.25;0.4130422
0.3;0.4498458
0.35;0.4876163
0.4;0.5263298
0.45;0.5659888
0.5;0.6065259
0.55;0.648019
0.6;0.6904812
0.65;0.7338716
0.7;0.7782041
0.75;0.8233905
0.8;0.8692656
0.85;0.9157999
0.9;0.9627757
0.95;1.010034
1;1.057339
1.05;1.104578
1.1;1.151408
1.15;1.197721
1.2;1.243289
1.25;1.288145
1.3;1.332118
1.35;1.375076
1.4;1.417068
1.45;1.457988
1.5;1.497735
1.55;1.536331
1.6;1.573817
1.65;1.610125
1.7;1.645493
1.75;1.679966
1.8;1.71355
1.85;1.74631
1.9;1.778327
1.95;1.809553
2;1.840088
2.05;1.870064
2.1;1.899458
2.15;1.928303
2.2;1.956567
2.25;1.984158
2.3;2.011198
2.35;2.03747
2.4;2.063055
2.45;2.087868
2.5;2.112048
2.55;2.135293
2.6;2.157815
2.65;2.179412
2.7;2.200373
2.75;2.220273
2.8;2.239749
2.85;2.258025
2.9;2.275893
2.95;2.292868
3;2.309599
3.05;2.325429
3.1;2.340609
3.15;2.355453
3.2;2.369747
3.25;2.383842
3.3;2.397389
3.35;2.410571
3.4;2.42368
3.45;2.436563
3.5;2.449386
3.55;2.462045
3.6;2.474317
3.65;2.486878
3.7;2.49916
3.75;2.511419
3.8;2.523669
3.85;2.535865
3.9;2.547888
3.95;2.559734
4;2.571643
4.05;2.583479
4.1;2.595328
4.15;2.607027
4.2;2.618461
4.25;2.629983
4.3;2.641519
4.35;2.652718
4.4;2.663939
4.45;2.675039
4.5;2.685962
4.55;2.696761
4.6;2.707447
4.65;2.717996
4.7;2.728548
4.75;2.738723
4.8;2.748821
4.85;2.758995
4.9;2.768709
4.95;2.778309
5;2.787886
