Tensao [V];Corrente [A]
-5;-0.0004757919
-4.95;-0.0004573195
-4.9;-0.0004496908
-4.85;-0.0004456817
-4.8;-0.0004430834
-4.75;-0.0004434414
-4.7;-0.0004395129
-4.65;-0.0004394074
-4.6;-0.0004403254
-4.55;-0.000436495
-4.5;-0.0004343446
-4.45;-0.000433888
-4.4;-0.0004325558
-4.35;-0.0004310397
-4.3;-0.0004296102
-4.25;-0.0004286657
-4.2;-0.0004274169
-4.15;-0.0004256198
-4.1;-0.0004224183
-4.05;-0.0004222249
-4;-0.0004238449
-3.95;-0.0004228771
-3.9;-0.0004207662
-3.85;-0.0004191015
-3.8;-0.0004188431
-3.75;-0.0004181581
-3.7;-0.000416145
-3.65;-0.0004148548
-3.6;-0.000414411
-3.55;-0.000414026
-3.5;-0.0004093329
-3.45;-0.0004084591
-3.4;-0.0004097631
-3.35;-0.000409208
-3.3;-0.0004076724
-3.25;-0.0004056879
-3.2;-0.0004054241
-3.15;-0.0004052098
-3.1;-0.0004021972
-3.05;-0.0004001454
-3;-0.0004001013
-2.95;-0.0003994378
-2.9;-0.0003990462
-2.85;-0.0003938725
-2.8;-0.0003944422
-2.75;-0.0003941701
-2.7;-0.0003918092
-2.65;-0.0003902246
-2.6;-0.0003897564
-2.55;-0.0003855596
-2.5;-0.0003813446
-2.45;-0.0003779862
-2.4;-0.000366676
-2.35;-0.0003660283
-2.3;-0.0003626262
-2.25;-0.0003595507
-2.2;-0.000355908
-2.15;-0.000352218
-2.1;-0.0003493607
-2.05;-0.0003458062
-2;-0.0003406731
-1.95;-0.0002985932
-1.9;-0.0003161302
-1.85;-0.0003190337
-1.8;-0.0003133097
-1.75;-0.0003063111
-1.7;-0.0002986559
-1.65;-0.0002917905
-1.6;-0.0002818875
-1.55;-0.0002736776
-1.5;-0.0002634457
-1.45;-0.0002509097
-1.4;-0.0002360838
-1.35;-0.0002161947
-1.3;-0.0001894885
-1.25;-0.0001534585
-1.2;-0.0001060836
-1.15;-4.431817E-05
-1.1;3.726855E-05
-1.05;0.0001453351
-1;0.000291412
-0.95;0.0004854151
-0.9;0.0007609873
-0.85;0.001169556
-0.8;0.001802151
-0.75;0.003271525
-0.7;0.004447661
-0.65;0.006878488
-0.6;0.01052127
-0.55;0.01563664
-0.5;0.02623854
-0.45;0.03651182
-0.4;0.04956708
-0.35;0.06545098
-0.3;0.08427736
-0.25;0.1057441
-0.2;0.129508
-0.15;0.1554365
-0.1;0.1832898
-0.05;0.2126715
0;0.2436614
0.05;0.2756074
0.1;0.3087909
0.15;0.3428236
0.2;0.3776771
0.25;0.4135054
0.3;0.4503628
0.35;0.4882007
0.4;0.5269275
0.45;0.5666088
0.5;0.6072138
0.55;0.6487735
0.6;0.6913013
0.65;0.7347214
0.7;0.7790802
0.75;0.8243227
0.8;0.8702535
0.85;0.9168118
0.9;0.9638431
0.95;1.011157
1;1.058556
1.05;1.105816
1.1;1.152713
1.15;1.19905
1.2;1.244701
1.25;1.289511
1.3;1.333494
1.35;1.376546
1.4;1.418561
1.45;1.459558
1.5;1.499388
1.55;1.538023
1.6;1.575466
1.65;1.611809
1.7;1.647225
1.75;1.681698
1.8;1.715342
1.85;1.748146
1.9;1.780128
1.95;1.811431
2;1.842031
2.05;1.872004
2.1;1.901432
2.15;1.930316
2.2;1.95858
2.25;1.986221
2.3;2.01317
2.35;2.039536
2.4;2.065173
2.45;2.090011
2.5;2.114278
2.55;2.137449
2.6;2.160134
2.65;2.181805
2.7;2.202729
2.75;2.222918
2.8;2.242193
2.85;2.260594
2.9;2.278285
2.95;2.295438
3;2.312217
3.05;2.32806
3.1;2.343265
3.15;2.358061
3.2;2.372416
3.25;2.386361
3.3;2.400094
3.35;2.413504
3.4;2.426562
3.45;2.439144
3.5;2.452029
3.55;2.464752
3.6;2.47721
3.65;2.489794
3.7;2.50178
3.75;2.514038
3.8;2.52611
3.85;2.538358
3.9;2.550292
3.95;2.56249
4;2.574274
4.05;2.58616
4.1;2.598019
4.15;2.609581
4.2;2.621067
4.25;2.632827
4.3;2.643963
4.35;2.655398
4.4;2.66646
4.45;2.677644
4.5;2.688667
4.55;2.699293
4.6;2.709967
4.65;2.720616
4.7;2.731115
4.75;2.74139
4.8;2.751365
4.85;2.761363
4.9;2.771341
4.95;2.780766
5;2.790191
